Username,Repository,Stars,Repo URL
freeCodeCamp,freeCodeCamp,376k,https://github.com/freeCodeCamp/freeCodeCamp
facebook,react,214k,https://github.com/facebook/react
vuejs,vue,206k,https://github.com/vuejs/vue
trekhleb,javascript-algorithms,177k,https://github.com/trekhleb/javascript-algorithms
getify,You-Dont-Know-JS,172k,https://github.com/getify/You-Dont-Know-JS
twbs,bootstrap,166k,https://github.com/twbs/bootstrap
airbnb,javascript,139k,https://github.com/airbnb/javascript
practical-tutorials,project-based-learning,118k,https://github.com/practical-tutorials/project-based-learning
30-seconds,30-seconds-of-code,116k,https://github.com/30-seconds/30-seconds-of-code
electron,electron,109k,https://github.com/electron/electron
justjavac,free-programming-books-zh_CN,105k,https://github.com/justjavac/free-programming-books-zh_CN
axios,axios,102k,https://github.com/axios/axios
nodejs,node,98.6k,https://github.com/nodejs/node
mrdoob,three.js,95.1k,https://github.com/mrdoob/three.js
microsoft,TypeScript,94.8k,https://github.com/microsoft/TypeScript
goldbergyoni,nodebestpractices,93.3k,https://github.com/goldbergyoni/nodebestpractices
denoland,deno,91.2k,https://github.com/denoland/deno
angular,angular,90.7k,https://github.com/angular/angular
mui,material-ui,89.3k,https://github.com/mui/material-ui
ryanmcdermott,clean-code-javascript,86.2k,https://github.com/ryanmcdermott/clean-code-javascript
storybookjs,storybook,80.6k,https://github.com/storybookjs/storybook
microsoft,Web-Dev-For-Beginners,77.1k,https://github.com/microsoft/Web-Dev-For-Beginners
thedaviddias,Front-End-Checklist,66.2k,https://github.com/thedaviddias/Front-End-Checklist
oven-sh,bun,64.4k,https://github.com/oven-sh/bun
webpack,webpack,63.6k,https://github.com/webpack/webpack
expressjs,express,62.1k,https://github.com/expressjs/express
chartjs,Chart.js,62.1k,https://github.com/chartjs/Chart.js
mermaid-js,mermaid,61.9k,https://github.com/mermaid-js/mermaid
nestjs,nest,60.3k,https://github.com/nestjs/nest
atom,atom,59.6k,https://github.com/atom/atom
leonardomso,33-js-concepts,59.3k,https://github.com/leonardomso/33-js-concepts
socketio,socket.io,59.1k,https://github.com/socketio/socket.io
enaqx,awesome-react,58.7k,https://github.com/enaqx/awesome-react
DopplerHQ,awesome-interview-questions,58.3k,https://github.com/DopplerHQ/awesome-interview-questions
lodash,lodash,57.7k,https://github.com/lodash/lodash
strapi,strapi,56.6k,https://github.com/strapi/strapi
microsoft,playwright,55.6k,https://github.com/microsoft/playwright
h5bp,html5-boilerplate,55.3k,https://github.com/h5bp/html5-boilerplate
ElemeFE,element,53.7k,https://github.com/ElemeFE/element
sindresorhus,awesome-nodejs,53.1k,https://github.com/sindresorhus/awesome-nodejs
azl397985856,leetcode,52.6k,https://github.com/azl397985856/leetcode
ionic-team,ionic-framework,49.5k,https://github.com/ionic-team/ionic-framework
facebook,docusaurus,48.6k,https://github.com/facebook/docusaurus
juliangarnier,anime,47.2k,https://github.com/juliangarnier/anime
prettier,prettier,46.8k,https://github.com/prettier/prettier
TryGhost,Ghost,44.2k,https://github.com/TryGhost/Ghost
meteor,meteor,43.8k,https://github.com/meteor/meteor
jestjs,jest,42.8k,https://github.com/jestjs/jest
parcel-bundler,parcel,42.7k,https://github.com/parcel-bundler/parcel
youngyangyang04,leetcode-master,42.7k,https://github.com/youngyangyang04/leetcode-master
babel,babel,42.6k,https://github.com/babel/babel
vercel,hyper,41.6k,https://github.com/vercel/hyper
yarnpkg,yarn,41.3k,https://github.com/yarnpkg/yarn
pixijs,pixijs,41.1k,https://github.com/pixijs/pixijs
nwjs,nw.js,39.9k,https://github.com/nwjs/nw.js
laurent22,joplin,39k,https://github.com/laurent22/joplin
discourse,discourse,38.9k,https://github.com/discourse/discourse
Dogfalo,materialize,38.8k,https://github.com/Dogfalo/materialize
Asabeneh,30-Days-Of-JavaScript,38.8k,https://github.com/Asabeneh/30-Days-Of-JavaScript
google,zx,38.7k,https://github.com/google/zx
dcloudio,uni-app,38.7k,https://github.com/dcloudio/uni-app
yangshun,front-end-interview-handbook,38.7k,https://github.com/yangshun/front-end-interview-handbook
Leaflet,Leaflet,38.6k,https://github.com/Leaflet/Leaflet
vuetifyjs,vuetify,38.1k,https://github.com/vuetifyjs/vuetify
gorhill,uBlock,38.1k,https://github.com/gorhill/uBlock
hexojs,hexo,37.6k,https://github.com/hexojs/hexo
RocketChat,Rocket.Chat,37.3k,https://github.com/RocketChat/Rocket.Chat
serhii-londar,open-source-mac-os-apps,37.2k,https://github.com/serhii-londar/open-source-mac-os-apps
appwrite,appwrite,37.1k,https://github.com/appwrite/appwrite
FreeCodeCampChina,freecodecamp.cn,36.6k,https://github.com/FreeCodeCampChina/freecodecamp.cn
videojs,video.js,36.3k,https://github.com/videojs/video.js
jgraph,drawio,36.3k,https://github.com/jgraph/drawio
evanw,esbuild,36.2k,https://github.com/evanw/esbuild
photonstorm,phaser,35.4k,https://github.com/photonstorm/phaser
LeCoupa,awesome-cheatsheets,34.8k,https://github.com/LeCoupa/awesome-cheatsheets
alvarotrigo,fullPage.js,34.8k,https://github.com/alvarotrigo/fullPage.js
prisma,prisma,34.3k,https://github.com/prisma/prisma
SheetJS,sheetjs,33.7k,https://github.com/SheetJS/sheetjs
NervJS,taro,33.7k,https://github.com/NervJS/taro
zenorocha,clipboard.js,33.5k,https://github.com/zenorocha/clipboard.js
carbon-app,carbon,33.3k,https://github.com/carbon-app/carbon
xitu,gold-miner,32.8k,https://github.com/xitu/gold-miner
date-fns,date-fns,32.5k,https://github.com/date-fns/date-fns
denysdovhan,wtfjs,32.4k,https://github.com/denysdovhan/wtfjs
sudheerj,reactjs-interview-questions,32.3k,https://github.com/sudheerj/reactjs-interview-questions
typeorm,typeorm,32.3k,https://github.com/typeorm/typeorm
naptha,tesseract.js,31.8k,https://github.com/naptha/tesseract.js
lyswhut,lx-music-desktop,31.7k,https://github.com/lyswhut/lx-music-desktop
mqyqingfeng,Blog,30k,https://github.com/mqyqingfeng/Blog
novuhq,novu,29.8k,https://github.com/novuhq/novu
ReactiveX,rxjs,29.5k,https://github.com/ReactiveX/rxjs
appsmithorg,appsmith,29.4k,https://github.com/appsmithorg/appsmith
Binaryify,NeteaseCloudMusicApi,29.3k,https://github.com/Binaryify/NeteaseCloudMusicApi
TheAlgorithms,JavaScript,29.2k,https://github.com/TheAlgorithms/JavaScript
solidjs,solid,29.2k,https://github.com/solidjs/solid
elsewhencode,project-guidelines,28.9k,https://github.com/elsewhencode/project-guidelines
niklasvh,html2canvas,28.9k,https://github.com/niklasvh/html2canvas
swc-project,swc,28.7k,https://github.com/swc-project/swc
standard,standard,28.6k,https://github.com/standard/standard
sequelize,sequelize,28.5k,https://github.com/sequelize/sequelize
