Username,Repository,Stars,Repo URL
monero-project,monero,8.2k,https://github.com/monero-project/monero
xmrig,xmrig,7.8k,https://github.com/xmrig/xmrig
yjjnls,awesome-blockchain,2.9k,https://github.com/yjjnls/awesome-blockchain
cazala,coin-hive,2k,https://github.com/cazala/coin-hive
MultiPoolMiner,MultiPoolMiner,872,https://github.com/MultiPoolMiner/MultiPoolMiner
UnamSanctam,SilentCryptoMiner,845,https://github.com/UnamSanctam/SilentCryptoMiner
Cyclenerd,ethereum_nvidia_miner,840,https://github.com/Cyclenerd/ethereum_nvidia_miner
SChernykh,p2pool,830,https://github.com/SChernykh/p2pool
xmrig,xmrig-nvidia,669,https://github.com/xmrig/xmrig-nvidia
oliverw,miningcore,659,https://github.com/oliverw/miningcore
haveno-dex,haveno,637,https://github.com/haveno-dex/haveno
lucasjones,cpuminer-multi,614,https://github.com/lucasjones/cpuminer-multi
nanopool,nanominer,593,https://github.com/nanopool/nanominer
howardwu,wagyu,583,https://github.com/howardwu/wagyu
comit-network,xmr-btc-swap,557,https://github.com/comit-network/xmr-btc-swap
xmrig,xmrig-proxy,548,https://github.com/xmrig/xmrig-proxy
deepwn,deepMiner,538,https://github.com/deepwn/deepMiner
UnamSanctam,SilentXMRMiner,521,https://github.com/UnamSanctam/SilentXMRMiner
bradoyler,xmr-miner,498,https://github.com/bradoyler/xmr-miner
sammy007,monero-stratum,477,https://github.com/sammy007/monero-stratum
cake-tech,cake_wallet,422,https://github.com/cake-tech/cake_wallet
cazala,coin-hive-stratum,412,https://github.com/cazala/coin-hive-stratum
xmrig,xmrig-amd,397,https://github.com/xmrig/xmrig-amd
bitcart,bitcart,388,https://github.com/bitcart/bitcart
moneroexamples,onion-monero-blockchain-explorer,332,https://github.com/moneroexamples/onion-monero-blockchain-explorer
jtgrassie,monero-pool,326,https://github.com/jtgrassie/monero-pool
AthanorLabs,atomic-swap,294,https://github.com/AthanorLabs/atomic-swap
CoinSpace,CoinSpace,276,https://github.com/CoinSpace/CoinSpace
monerobook,monerobook,271,https://github.com/monerobook/monerobook
x25,coinhive-stratum-mining-proxy,261,https://github.com/x25/coinhive-stratum-mining-proxy
notgiven688,webminerpool,256,https://github.com/notgiven688/webminerpool
ognus,wallet-address-validator,254,https://github.com/ognus/wallet-address-validator
Mikerah,awesome-privacy-on-blockchains,236,https://github.com/Mikerah/awesome-privacy-on-blockchains
nemosminer,NemosMiner,229,https://github.com/nemosminer/NemosMiner
monero-ecosystem,monero-python,229,https://github.com/monero-ecosystem/monero-python
ebellocchia,bip_utils,228,https://github.com/ebellocchia/bip_utils
Ragnaroek,mithril,213,https://github.com/Ragnaroek/mithril
PiTi2k5,Crypto-Webminer,183,https://github.com/PiTi2k5/Crypto-Webminer
monero-ecosystem,monero-ts,174,https://github.com/monero-ecosystem/monero-ts
xmrMiner,xmrMiner,173,https://github.com/xmrMiner/xmrMiner
NYAN-x-CAT,Lime-Miner,167,https://github.com/NYAN-x-CAT/Lime-Miner
sethforprivacy,self-hosted-services,166,https://github.com/sethforprivacy/self-hosted-services
cazala,react-coin-hive,158,https://github.com/cazala/react-coin-hive
moneroexamples,openmonero,153,https://github.com/moneroexamples/openmonero
amiuhle,kasisto,149,https://github.com/amiuhle/kasisto
