Username,Repository,Stars,Repo URL
zhanwen,MathModel,6.5k,https://github.com/zhanwen/MathModel
PRML,PRMLT,5.9k,https://github.com/PRML/PRMLT
ZheC,Realtime_Multi-Person_Pose_Estimation,5k,https://github.com/ZheC/Realtime_Multi-Person_Pose_Estimation
flybywiresim,aircraft,4.7k,https://github.com/flybywiresim/aircraft
ZachL1,Bilibili-plus,3.5k,https://github.com/ZachL1/Bilibili-plus
Chakazul,Lenia,3.2k,https://github.com/Chakazul/Lenia
personqianduixue,Math_Model,2.3k,https://github.com/personqianduixue/Math_Model
HuangCongQing,Algorithms_MathModels,1.8k,https://github.com/HuangCongQing/Algorithms_MathModels
kaxap,arl,1.8k,https://github.com/kaxap/arl
matlab2tikz,matlab2tikz,1.4k,https://github.com/matlab2tikz/matlab2tikz
casadi,casadi,1.4k,https://github.com/casadi/casadi
BIMK,PlatEMO,1.2k,https://github.com/BIMK/PlatEMO
analyticalmonk,awesome-neuroscience,1.1k,https://github.com/analyticalmonk/awesome-neuroscience
pptacher,probabilistic_robotics,1.1k,https://github.com/pptacher/probabilistic_robotics
petercorke,robotics-toolbox-matlab,1.1k,https://github.com/petercorke/robotics-toolbox-matlab
scottclowe,matlab-schemer,1.1k,https://github.com/scottclowe/matlab-schemer
JSBSim-Team,jsbsim,1k,https://github.com/JSBSim-Team/jsbsim
bytefish,facerec,943,https://github.com/bytefish/facerec
DrTimothyAldenDavis,SuiteSparse,905,https://github.com/DrTimothyAldenDavis/SuiteSparse
mathworks,MATLAB-Simulink-Challenge-Project-Hub,838,https://github.com/mathworks/MATLAB-Simulink-Challenge-Project-Hub
JalaliLabUCLA,Image-feature-detection-using-Phase-Stretch-Transform,837,https://github.com/JalaliLabUCLA/Image-feature-detection-using-Phase-Stretch-Transform
trekhleb,machine-learning-octave,803,https://github.com/trekhleb/machine-learning-octave
andrewssobral,lrslibrary,777,https://github.com/andrewssobral/lrslibrary
fieldtrip,fieldtrip,749,https://github.com/fieldtrip/fieldtrip
piermorel,gramm,735,https://github.com/piermorel/gramm
MinZHANG-WHU,Change-Detection-Review,724,https://github.com/MinZHANG-WHU/Change-Detection-Review
oneTaken,awesome_deep_learning_interpretability,689,https://github.com/oneTaken/awesome_deep_learning_interpretability
benfulcher,hctsa,640,https://github.com/benfulcher/hctsa
AtsushiSakai,MATLABRobotics,535,https://github.com/AtsushiSakai/MATLABRobotics
GuoShi28,CBDNet,471,https://github.com/GuoShi28/CBDNet
LiYangSir,Smart-Algorithm,455,https://github.com/LiYangSir/Smart-Algorithm
conradsnicta,armadillo-code,444,https://github.com/conradsnicta/armadillo-code
CodeSama346623,Bilibili346623,443,https://github.com/CodeSama346623/Bilibili346623
CERN,TIGRE,441,https://github.com/CERN/TIGRE
equinor,segyio,439,https://github.com/equinor/segyio
davidvarga,MBeautifier,436,https://github.com/davidvarga/MBeautifier
26hzhang,OptimizedImageEnhance,426,https://github.com/26hzhang/OptimizedImageEnhance
Axect,Peroxide,414,https://github.com/Axect/Peroxide
yalmip,YALMIP,413,https://github.com/yalmip/YALMIP
cszn,SRMD,409,https://github.com/cszn/SRMD
kbinani,colormap-shaders,401,https://github.com/kbinani/colormap-shaders
ROBOTIS-GIT,DynamixelSDK,382,https://github.com/ROBOTIS-GIT/DynamixelSDK
votchallenge,toolkit-legacy,381,https://github.com/votchallenge/toolkit-legacy
posenhuang,deeplearningsourceseparation,361,https://github.com/posenhuang/deeplearningsourceseparation
YuanhaoGong,CurvatureFilter,360,https://github.com/YuanhaoGong/CurvatureFilter
peijin94,matlabPlotCheatsheet,355,https://github.com/peijin94/matlabPlotCheatsheet
DrCoffey,DeepSqueak,354,https://github.com/DrCoffey/DeepSqueak
plotly,plotly_matlab,352,https://github.com/plotly/plotly_matlab
TheAlgorithms,MATLAB-Octave,345,https://github.com/TheAlgorithms/MATLAB-Octave
banterle,HDR_Toolbox,341,https://github.com/banterle/HDR_Toolbox
oneTaken,Awesome-Denoise,341,https://github.com/oneTaken/Awesome-Denoise
matlab-deep-learning,MATLAB-Deep-Learning-Model-Hub,334,https://github.com/matlab-deep-learning/MATLAB-Deep-Learning-Model-Hub
cybergalactic,MSS,333,https://github.com/cybergalactic/MSS
Shuai-Xie,genetic-algorithm,323,https://github.com/Shuai-Xie/genetic-algorithm
darkmatter18,cheatsheet,323,https://github.com/darkmatter18/cheatsheet
brainstorm-tools,brainstorm3,321,https://github.com/brainstorm-tools/brainstorm3
tbeu,matio,307,https://github.com/tbeu/matio
panditanvita,BTCpredictor,307,https://github.com/panditanvita/BTCpredictor
