Username,Repository,Stars,Repo URL
Homebrew,brew,37.4k,https://github.com/Homebrew/brew
mislav,hub,22.5k,https://github.com/mislav/hub
Homebrew,homebrew-cask,20.2k,https://github.com/Homebrew/homebrew-cask
Homebrew,homebrew-core,12.8k,https://github.com/Homebrew/homebrew-core
Caldis,Mos,12.6k,https://github.com/Caldis/Mos
goreleaser,goreleaser,12.2k,https://github.com/goreleaser/goreleaser
mas-cli,mas,10.1k,https://github.com/mas-cli/mas
diasurgical,devilutionX,7.2k,https://github.com/diasurgical/devilutionX
IdreesInc,Monocraft,7.1k,https://github.com/IdreesInc/Monocraft
geerlingguy,mac-dev-playbook,5.5k,https://github.com/geerlingguy/mac-dev-playbook
Homebrew,homebrew-bundle,4.7k,https://github.com/Homebrew/homebrew-bundle
LumaTeam,Luma3DS,4.5k,https://github.com/LumaTeam/Luma3DS
mock-server,mockserver,4.3k,https://github.com/mock-server/mockserver
paulirish,dotfiles,4.1k,https://github.com/paulirish/dotfiles
whalebrew,whalebrew,3.8k,https://github.com/whalebrew/whalebrew
cointop-sh,cointop,3.7k,https://github.com/cointop-sh/cointop
nicoverbruggen,phpmon,2.9k,https://github.com/nicoverbruggen/phpmon
Homebrew,homebrew-cask-fonts,2.7k,https://github.com/Homebrew/homebrew-cask-fonts
Linuxbrew,brew,2.6k,https://github.com/Linuxbrew/brew
nicknisi,dotfiles,2.6k,https://github.com/nicknisi/dotfiles
XorTroll,Goldleaf,2.5k,https://github.com/XorTroll/Goldleaf
mac-cleanup,mac-cleanup-sh,2.2k,https://github.com/mac-cleanup/mac-cleanup-sh
AtlasNX,Kosmos,2.1k,https://github.com/AtlasNX/Kosmos
shivammathur,homebrew-php,2.1k,https://github.com/shivammathur/homebrew-php
MikeMcQuaid,strap,2.1k,https://github.com/MikeMcQuaid/strap
d12frosted,homebrew-emacs-plus,2k,https://github.com/d12frosted/homebrew-emacs-plus
driesvints,dotfiles,2k,https://github.com/driesvints/dotfiles
Homebrew,install,1.9k,https://github.com/Homebrew/install
Homebrew,homebrew-services,1.9k,https://github.com/Homebrew/homebrew-services
AdoptOpenJDK,homebrew-openjdk,1.8k,https://github.com/AdoptOpenJDK/homebrew-openjdk
minamarkham,formation,1.8k,https://github.com/minamarkham/formation
go-nv,goenv,1.8k,https://github.com/go-nv/goenv
smallhadroncollider,taskell,1.6k,https://github.com/smallhadroncollider/taskell
bitwarden,cli,1.6k,https://github.com/bitwarden/cli
kerl,kerl,1.5k,https://github.com/kerl/kerl
Nonchalant,AppIcon,1.5k,https://github.com/Nonchalant/AppIcon
hacks-guide,Guide_3DS,1.4k,https://github.com/hacks-guide/Guide_3DS
Team-Neptune,DeepSea,1.4k,https://github.com/Team-Neptune/DeepSea
stevegrunwell,asimov,1.3k,https://github.com/stevegrunwell/asimov
Homebrew,formulae.brew.sh,1.2k,https://github.com/Homebrew/formulae.brew.sh
Homebrew,linuxbrew-core,1.2k,https://github.com/Homebrew/linuxbrew-core
exelix11,SysDVR,1.2k,https://github.com/exelix11/SysDVR
switchbrew,libnx,1.2k,https://github.com/switchbrew/libnx
Homebrew,homebrew-cask-versions,1.1k,https://github.com/Homebrew/homebrew-cask-versions
J-D-K,JKSV,1.1k,https://github.com/J-D-K/JKSV
HamletDuFromage,aio-switch-updater,1.1k,https://github.com/HamletDuFromage/aio-switch-updater
WerWolv,EdiZon,1.1k,https://github.com/WerWolv/EdiZon
buresdv,Cork,1k,https://github.com/buresdv/Cork
webpro,dotfiles,1k,https://github.com/webpro/dotfiles
philcook,brew-php-switcher,921,https://github.com/philcook/brew-php-switcher
joel16,NX-Shell,891,https://github.com/joel16/NX-Shell
fortheusers,hb-appstore,877,https://github.com/fortheusers/hb-appstore
msanders,cider,841,https://github.com/msanders/cider
exelix11,SwitchThemeInjector,837,https://github.com/exelix11/SwitchThemeInjector
Homebrew,homebrew-autoupdate,802,https://github.com/Homebrew/homebrew-autoupdate
DarkMatterCore,nxdumptool,763,https://github.com/DarkMatterCore/nxdumptool
ypwhs,dl-engineer-guidebook,750,https://github.com/ypwhs/dl-engineer-guidebook
1zilc,fishing-funds,720,https://github.com/1zilc/fishing-funds
ctaylo21,jarvis,703,https://github.com/ctaylo21/jarvis
devkitPro,libctru,703,https://github.com/devkitPro/libctru
Jarred-Sumner,git-peek,699,https://github.com/Jarred-Sumner/git-peek
