Username,Repository,Stars,Repo URL
ljianshu,Blog,7.7k,https://github.com/ljianshu/Blog
metafizzy,infinite-scroll,7.3k,https://github.com/metafizzy/infinite-scroll
olifolkerd,tabulator,5.7k,https://github.com/olifolkerd/tabulator
developit,unfetch,5.6k,https://github.com/developit/unfetch
jquery-form,form,5.2k,https://github.com/jquery-form/form
Studio-42,elFinder,4.5k,https://github.com/Studio-42/elFinder
elbywan,wretch,4.2k,https://github.com/elbywan/wretch
dwyl,learn-to-send-email-via-google-script-html-no-server,3k,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
ded,reqwest,2.9k,https://github.com/ded/reqwest
wendux,ajax-hook,2.4k,https://github.com/wendux/ajax-hook
LeaVerou,bliss,2.4k,https://github.com/LeaVerou/bliss
noelboss,featherlight,2.1k,https://github.com/noelboss/featherlight
craftpip,jquery-confirm,1.8k,https://github.com/craftpip/jquery-confirm
taoensso,sente,1.7k,https://github.com/taoensso/sente
nette,tracy,1.7k,https://github.com/nette/tracy
loadingio,css-spinner,1.7k,https://github.com/loadingio/css-spinner
k8w,tsrpc,1.6k,https://github.com/k8w/tsrpc
joaomilho,Enterprise,1.6k,https://github.com/joaomilho/Enterprise
codingforentrepreneurs,eCommerce,1.4k,https://github.com/codingforentrepreneurs/eCommerce
u014427391,jeeplatform,1.4k,https://github.com/u014427391/jeeplatform
MoOx,pjax,1.4k,https://github.com/MoOx/pjax
proyecto26,RestClient,1.2k,https://github.com/proyecto26/RestClient
danielm,uploader,1.1k,https://github.com/danielm/uploader
renderedtext,render_async,1.1k,https://github.com/renderedtext/render_async
opensource-socialnetwork,opensource-socialnetwork,983,https://github.com/opensource-socialnetwork/opensource-socialnetwork
swlib,saber,981,https://github.com/swlib/saber
BetterTyped,hyper-fetch,956,https://github.com/BetterTyped/hyper-fetch
webcreate,infinite-ajax-scroll,896,https://github.com/webcreate/infinite-ajax-scroll
rapidjs,rapid.js,714,https://github.com/rapidjs/rapid.js
anzhihe,Free-Web-Books,668,https://github.com/anzhihe/Free-Web-Books
csxiaoyaojianxian,JavaScriptStudy,657,https://github.com/csxiaoyaojianxian/JavaScriptStudy
karosLi,KKJSBridge,650,https://github.com/karosLi/KKJSBridge
GoogTech,sms-ssm,600,https://github.com/GoogTech/sms-ssm
Humsen,web,552,https://github.com/Humsen/web
cferdinandi,atomic,541,https://github.com/cferdinandi/atomic
Mevrael,bunny,484,https://github.com/Mevrael/bunny
dashborg,hibiki,469,https://github.com/dashborg/hibiki
jsGanttImproved,jsgantt-improved,449,https://github.com/jsGanttImproved/jsgantt-improved
englercj,resource-loader,419,https://github.com/englercj/resource-loader
kishan0725,AJAX-Movie-Recommendation-System-with-Sentiment-Analysis,418,https://github.com/kishan0725/AJAX-Movie-Recommendation-System-with-Sentiment-Analysis
arthurfiorette,axios-cache-interceptor,394,https://github.com/arthurfiorette/axios-cache-interceptor
loadingio,loading-bar,388,https://github.com/loadingio/loading-bar
trco,django-bootstrap-modal-forms,377,https://github.com/trco/django-bootstrap-modal-forms
klis87,redux-requests,366,https://github.com/klis87/redux-requests
tulios,mappersmith,325,https://github.com/tulios/mappersmith
yceruto,django-ajax,319,https://github.com/yceruto/django-ajax
maliangnansheng,bbs-ssm,313,https://github.com/maliangnansheng/bbs-ssm
gowthamand,django-crud-ajax-login-register-fileupload,300,https://github.com/gowthamand/django-crud-ajax-login-register-fileupload
davgothic,AjaxFileUpload,295,https://github.com/davgothic/AjaxFileUpload
Yawan-1,StackOverFlow--Clone,295,https://github.com/Yawan-1/StackOverFlow--Clone
RobinNixon,lpmj6,292,https://github.com/RobinNixon/lpmj6
msaad1999,KLiK-SocialMediaWebsite,286,https://github.com/msaad1999/KLiK-SocialMediaWebsite
zellwk,zl-fetch,272,https://github.com/zellwk/zl-fetch
GerryIsWarrior,ajax,268,https://github.com/GerryIsWarrior/ajax
donavon,thwack,268,https://github.com/donavon/thwack
Zaid-Ajaj,Fable.Remoting,252,https://github.com/Zaid-Ajaj/Fable.Remoting
ronffy,axios-tutorial,245,https://github.com/ronffy/axios-tutorial
iranianpep,ajax-live-search,244,https://github.com/iranianpep/ajax-live-search
rnicholus,ajax-form,235,https://github.com/rnicholus/ajax-form
BosNaufal,vue2-autocomplete,233,https://github.com/BosNaufal/vue2-autocomplete
J2TeamNNL,J2Team-Community,217,https://github.com/J2TeamNNL/J2Team-Community
ember-cli,ember-ajax,216,https://github.com/ember-cli/ember-ajax
eshengsky,lajax,200,https://github.com/eshengsky/lajax
amirhamza05,Student-Management-System,198,https://github.com/amirhamza05/Student-Management-System
go2ismail,DotnetDesk,197,https://github.com/go2ismail/DotnetDesk
josephernest,Swap,189,https://github.com/josephernest/Swap
nabinked,NToastNotify,185,https://github.com/nabinked/NToastNotify
pontikis,bs_grid,185,https://github.com/pontikis/bs_grid
lavyun,better-mock,170,https://github.com/lavyun/better-mock
stratos-vetsos,react-selectrix,170,https://github.com/stratos-vetsos/react-selectrix
Sany07,Job-Portal-Django,162,https://github.com/Sany07/Job-Portal-Django
pie6k,jquery.initialize,161,https://github.com/pie6k/jquery.initialize
zijianhuang,webapiclientgen,158,https://github.com/zijianhuang/webapiclientgen
haxxorsid,stock-management-system,155,https://github.com/haxxorsid/stock-management-system
dlerm,shopify-wishlist,152,https://github.com/dlerm/shopify-wishlist
Praful932,Kitabe,152,https://github.com/Praful932/Kitabe
vojtech-dobes,nette.ajax.js,150,https://github.com/vojtech-dobes/nette.ajax.js
ryantxu,ajax-panel,145,https://github.com/ryantxu/ajax-panel
shubham1710,ByteWalk,143,https://github.com/shubham1710/ByteWalk
yiisoft,jquery-pjax,141,https://github.com/yiisoft/jquery-pjax
nukeviet,nukeviet,138,https://github.com/nukeviet/nukeviet
innostudio,fileuploader,138,https://github.com/innostudio/fileuploader
JBlaak,Fitted,136,https://github.com/JBlaak/Fitted
harismuneer,Flight-Booking-System-JavaServlets_App,136,https://github.com/harismuneer/Flight-Booking-System-JavaServlets_App
bahdcoder,Laravel-5.3-and-Vue-js-2.0-social-network,135,https://github.com/bahdcoder/Laravel-5.3-and-Vue-js-2.0-social-network
ateliee,jquery.schedule,135,https://github.com/ateliee/jquery.schedule
philippfrenzel,yii2fullcalendar,131,https://github.com/philippfrenzel/yii2fullcalendar
girishsaraf,Online-Appointment-Booking-System,130,https://github.com/girishsaraf/Online-Appointment-Booking-System
yadavanuj1996,freecodecamp-solutions,130,https://github.com/yadavanuj1996/freecodecamp-solutions
ftgibran,vue-api-request,129,https://github.com/ftgibran/vue-api-request
alanjones2,Flask-Plotly,128,https://github.com/alanjones2/Flask-Plotly
kylelobo,Hydroponics,128,https://github.com/kylelobo/Hydroponics
vin-ni,PixelWave,127,https://github.com/vin-ni/PixelWave
Ilogeek,redmine_issue_dynamic_edit,123,https://github.com/Ilogeek/redmine_issue_dynamic_edit
RickWong,fetch-plus,121,https://github.com/RickWong/fetch-plus
shahroznawaz,php-notifications,120,https://github.com/shahroznawaz/php-notifications
jbaysolutions,vue2-bootstrap-table,120,https://github.com/jbaysolutions/vue2-bootstrap-table
10up,simple-page-ordering,117,https://github.com/10up/simple-page-ordering
putyourlightson,craft-sprig,112,https://github.com/putyourlightson/craft-sprig
risul3,laravel-like-comment,110,https://github.com/risul3/laravel-like-comment
