Username,Repository,Stars,Repo URL
flutter,flutter,157k,https://github.com/flutter/flutter
facebook,react-native,112k,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,105k,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,92k,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,69.8k,https://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,48.7k,https://github.com/google/material-design-icons
Solido,awesome-flutter,48.7k,https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,47.5k,https://github.com/wasabeef/awesome-android-ui
square,okhttp,44.6k,https://github.com/square/okhttp
android,architecture-samples,43.2k,https://github.com/android/architecture-samples
laurent22,joplin,38.9k,https://github.com/laurent22/joplin
dcloudio,uni-app,38.7k,https://github.com/dcloudio/uni-app
fastlane,fastlane,37.6k,https://github.com/fastlane/fastlane
PhilJay,MPAndroidChart,36.8k,https://github.com/PhilJay/MPAndroidChart
appwrite,appwrite,36.6k,https://github.com/appwrite/appwrite
skylot,jadx,36.5k,https://github.com/skylot/jadx
airbnb,lottie-android,34.3k,https://github.com/airbnb/lottie-android
shadowsocks,shadowsocks-android,34k,https://github.com/shadowsocks/shadowsocks-android
bumptech,glide,33.9k,https://github.com/bumptech/glide
xitu,gold-miner,32.8k,https://github.com/xitu/gold-miner
xitu,gold-miner,32.8k,https://github.com/xitu/gold-miner
Blankj,AndroidUtilCode,32.5k,https://github.com/Blankj/AndroidUtilCode
bilibili,ijkplayer,31.7k,https://github.com/bilibili/ijkplayer
zxing,zxing,31.6k,https://github.com/zxing/zxing
Trinea,android-open-project,31.3k,https://github.com/Trinea/android-open-project
square,leakcanary,28.7k,https://github.com/square/leakcanary
codepath,android_guides,28.2k,https://github.com/codepath/android_guides
TeamNewPipe,NewPipe,25.5k,https://github.com/TeamNewPipe/NewPipe
alibaba,fastjson,25.5k,https://github.com/alibaba/fastjson
termux,termux-app,25.2k,https://github.com/termux/termux-app
tachiyomiorg,tachiyomi,24.8k,https://github.com/tachiyomiorg/tachiyomi
scwang90,SmartRefreshLayout,24.4k,https://github.com/scwang90/SmartRefreshLayout
quasarframework,quasar,24.4k,https://github.com/quasarframework/quasar
react-native-elements,react-native-elements,24k,https://github.com/react-native-elements/react-native-elements
2dust,v2rayNG,24k,https://github.com/2dust/v2rayNG
CymChad,BaseRecyclerViewAdapterHelper,23.8k,https://github.com/CymChad/BaseRecyclerViewAdapterHelper
expo,expo,23.7k,https://github.com/expo/expo
google,mediapipe,23.6k,https://github.com/google/mediapipe
NativeScript,NativeScript,23k,https://github.com/NativeScript/NativeScript
libgdx,libgdx,22k,https://github.com/libgdx/libgdx
google,iosched,21.8k,https://github.com/google/iosched
fyne-io,fyne,21.5k,https://github.com/fyne-io/fyne
google,ExoPlayer,21.1k,https://github.com/google/ExoPlayer
futurice,android-best-practices,20.3k,https://github.com/futurice/android-best-practices
google,comprehensive-rust,19.9k,https://github.com/google/comprehensive-rust
AvaloniaUI,Avalonia,19.8k,https://github.com/AvaloniaUI/Avalonia
GeekyAnts,NativeBase,19.7k,https://github.com/GeekyAnts/NativeBase
didi,DoKit,19.7k,https://github.com/didi/DoKit
afollestad,material-dialogs,19.6k,https://github.com/afollestad/material-dialogs
Anuken,Mindustry,19.2k,https://github.com/Anuken/Mindustry
iampawan,FlutterExampleApps,19.2k,https://github.com/iampawan/FlutterExampleApps
CarGuo,GSYVideoPlayer,19k,https://github.com/CarGuo/GSYVideoPlayer
alibaba,weex,18.2k,https://github.com/alibaba/weex
google,flexbox-layout,18k,https://github.com/google/flexbox-layout
Tencent,ncnn,18k,https://github.com/Tencent/ncnn
framework7io,framework7,17.5k,https://github.com/framework7io/framework7
cocos2d,cocos2d-x,17.5k,https://github.com/cocos2d/cocos2d-x
iBotPeaches,Apktool,17.4k,https://github.com/iBotPeaches/Apktool
android,compose-samples,17.2k,https://github.com/android/compose-samples
jarun,nnn,17.1k,https://github.com/jarun/nnn
flutter,plugins,17.1k,https://github.com/flutter/plugins
appium,appium,17k,https://github.com/appium/appium
Tencent,tinker,16.9k,https://github.com/Tencent/tinker
google,filament,16.4k,https://github.com/google/filament
xbmc,xbmc,16.4k,https://github.com/xbmc/xbmc
kivy,kivy,16.3k,https://github.com/kivy/kivy
Tencent,MMKV,16.2k,https://github.com/Tencent/MMKV
dipakkr,A-to-Z-Resources-for-Students,16.1k,https://github.com/dipakkr/A-to-Z-Resources-for-Students
Kotlin,anko,15.9k,https://github.com/Kotlin/anko
raysan5,raylib,15.6k,https://github.com/raysan5/raylib
material-components,material-components-android,15.4k,https://github.com/material-components/material-components-android
android10,Android-CleanArchitecture,15.4k,https://github.com/android10/Android-CleanArchitecture
android-hacker,VirtualXposed,14.7k,https://github.com/android-hacker/VirtualXposed
hdodenhof,CircleImageView,14.5k,https://github.com/hdodenhof/CircleImageView
alibaba,ARouter,14.3k,https://github.com/alibaba/ARouter
CarGuo,gsy_github_app_flutter,14.2k,https://github.com/CarGuo/gsy_github_app_flutter
Tencent,QMUI_Android,14.2k,https://github.com/Tencent/QMUI_Android
DioxusLabs,dioxus,14.2k,https://github.com/DioxusLabs/dioxus
Konloch,bytecode-viewer,14k,https://github.com/Konloch/bytecode-viewer
txthinking,brook,13.9k,https://github.com/txthinking/brook
orhanobut,logger,13.7k,https://github.com/orhanobut/logger
open-android,Android,13.6k,https://github.com/open-android/Android
JetBrains,compose-multiplatform,13.5k,https://github.com/JetBrains/compose-multiplatform
dcloudio,mui,13.5k,https://github.com/dcloudio/mui
Curzibn,Luban,13.4k,https://github.com/Curzibn/Luban
skyline-emu,skyline,13.2k,https://github.com/skyline-emu/skyline
expo,create-react-native-app,13.2k,https://github.com/expo/create-react-native-app
JessYanCoding,AndroidAutoSize,13.1k,https://github.com/JessYanCoding/AndroidAutoSize
android,nowinandroid,13.1k,https://github.com/android/nowinandroid
openstf,stf,12.9k,https://github.com/openstf/stf
francistao,LearningNotes,12.9k,https://github.com/francistao/LearningNotes
yuliskov,SmartTubeNext,12.8k,https://github.com/yuliskov/SmartTubeNext
LuckSiege,PictureSelector,12.7k,https://github.com/LuckSiege/PictureSelector
clearw5,Auto.js,12.6k,https://github.com/clearw5/Auto.js
barry-ran,QtScrcpy,12.5k,https://github.com/barry-ran/QtScrcpy
zhihu,Matisse,12.4k,https://github.com/zhihu/Matisse
daimajia,AndroidViewAnimations,12.3k,https://github.com/daimajia/AndroidViewAnimations
LSPosed,LSPosed,12.1k,https://github.com/LSPosed/LSPosed
ReVanced,revanced-manager,11.9k,https://github.com/ReVanced/revanced-manager
mikepenz,MaterialDrawer,11.6k,https://github.com/mikepenz/MaterialDrawer
