Username,Repository,Stars,Repo URL
huihut,interview,30.6k,https://github.com/huihut/interview
SerenityOS,serenity,26.1k,https://github.com/SerenityOS/serenity
Awesome-HarmonyOS,HarmonyOS,18.8k,https://github.com/Awesome-HarmonyOS/HarmonyOS
redox-os,redox,14.6k,https://github.com/redox-os/redox
reactos,reactos,13.2k,https://github.com/reactos/reactos
phil-opp,blog_os,12.9k,https://github.com/phil-opp/blog_os
s-matyukevich,raspberry-pi-os,12.5k,https://github.com/s-matyukevich/raspberry-pi-os
rust-embedded,rust-raspberrypi-OS-tutorials,11.7k,https://github.com/rust-embedded/rust-raspberrypi-OS-tutorials
tuhdo,os01,11k,https://github.com/tuhdo/os01
AkashSingh3031,The-Complete-FAANG-Preparation,9.5k,https://github.com/AkashSingh3031/The-Complete-FAANG-Preparation
wolverinn,Waking-Up,9.1k,https://github.com/wolverinn/Waking-Up
gurugio,lowlevelprogramming-university,8.8k,https://github.com/gurugio/lowlevelprogramming-university
bottlerocket-os,bottlerocket,7.7k,https://github.com/bottlerocket-os/bottlerocket
NodeOS,NodeOS,6.9k,https://github.com/NodeOS/NodeOS
klange,toaruos,5.7k,https://github.com/klange/toaruos
yourtion,30dayMakeOS,5.4k,https://github.com/yourtion/30dayMakeOS
ravynsoft,ravynos,5.1k,https://github.com/ravynsoft/ravynos
includeos,IncludeOS,4.8k,https://github.com/includeos/IncludeOS
tock,tock,4.6k,https://github.com/tock/tock
oshi,oshi,4.2k,https://github.com/oshi/oshi
armbian,build,3.3k,https://github.com/armbian/build
nuta,kerla,3.3k,https://github.com/nuta/kerla
amilajack,reading,2.7k,https://github.com/amilajack/reading
archcraft-os,archcraft,2.6k,https://github.com/archcraft-os/archcraft
theseus-os,Theseus,2.6k,https://github.com/theseus-os/Theseus
nebulet,nebulet,2.3k,https://github.com/nebulet/nebulet
the-akira,Computer-Science-Resources,2.2k,https://github.com/the-akira/Computer-Science-Resources
skift-org,skift,2.1k,https://github.com/skift-org/skift
dyweb,papers-notebook,2.1k,https://github.com/dyweb/papers-notebook
yhzhang0128,egos-2000,2k,https://github.com/yhzhang0128/egos-2000
PureDarwin,PureDarwin,1.9k,https://github.com/PureDarwin/PureDarwin
joshiemoore,snakeware,1.7k,https://github.com/joshiemoore/snakeware
vlang,vinix,1.7k,https://github.com/vlang/vinix
haiku,haiku,1.7k,https://github.com/haiku/haiku
unikraft,unikraft,1.6k,https://github.com/unikraft/unikraft
FydeOS,chromium_os-raspberry_pi,1.6k,https://github.com/FydeOS/chromium_os-raspberry_pi
PansonPanson,Java-Notes,1.5k,https://github.com/PansonPanson/Java-Notes
GimunLee,tech-refrigerator,1.5k,https://github.com/GimunLee/tech-refrigerator
hermit-os,hermit-rs,1.4k,https://github.com/hermit-os/hermit-rs
illumos,illumos-gate,1.4k,https://github.com/illumos/illumos-gate
ivandavidov,minimal,1.4k,https://github.com/ivandavidov/minimal
Harvey-OS,harvey,1.4k,https://github.com/Harvey-OS/harvey
ehmicky,cross-platform-node-guide,1.4k,https://github.com/ehmicky/cross-platform-node-guide
jens-maus,RaspberryMatic,1.3k,https://github.com/jens-maus/RaspberryMatic
jubalh,awesome-os,1.3k,https://github.com/jubalh/awesome-os
KnightOS,KnightOS,1.3k,https://github.com/KnightOS/KnightOS
amaneureka,AtomOS,1.3k,https://github.com/amaneureka/AtomOS
AnarchyLinux,installer,1.2k,https://github.com/AnarchyLinux/installer
HelenOS,helenos,1.2k,https://github.com/HelenOS/helenos
managarm,managarm,1.2k,https://github.com/managarm/managarm
ffwff,lilith,1.1k,https://github.com/ffwff/lilith
rcore-os,rCore-Tutorial-v3,1.1k,https://github.com/rcore-os/rCore-Tutorial-v3
LemonOSProject,LemonOS,1.1k,https://github.com/LemonOSProject/LemonOS
JingOS-team,JingOS,1k,https://github.com/JingOS-team/JingOS
realabbas,big-companies-interview-questions,1k,https://github.com/realabbas/big-companies-interview-questions
Andy-Python-Programmer,aero,1k,https://github.com/Andy-Python-Programmer/aero
brutal-org,brutal,1k,https://github.com/brutal-org/brutal
baquer,GATE-and-CSE-Resources-for-Students,1k,https://github.com/baquer/GATE-and-CSE-Resources-for-Students
rcore-os,rCore-Tutorial-Book-v3,975,https://github.com/rcore-os/rCore-Tutorial-Book-v3
Zeal-Operating-System,ZealOS,965,https://github.com/Zeal-Operating-System/ZealOS
1j01,98,951,https://github.com/1j01/98
nifanfa,MOOS,947,https://github.com/nifanfa/MOOS
halfer53,winix,926,https://github.com/halfer53/winix
hermit-os,kernel,905,https://github.com/hermit-os/kernel
dzavalishin,phantomuserland,868,https://github.com/dzavalishin/phantomuserland
hyperledger,cello,861,https://github.com/hyperledger/cello
AlexFanw,HUSTER-CS,848,https://github.com/AlexFanw/HUSTER-CS
nieklinnenbank,FreeNOS,837,https://github.com/nieklinnenbank/FreeNOS
godarch,darch,825,https://github.com/godarch/darch
picodotdev,alis,802,https://github.com/picodotdev/alis
PDP-10,its,756,https://github.com/PDP-10/its
Supercip971,WingOS,738,https://github.com/Supercip971/WingOS
