Username,Repository,Stars,Repo URL
ovity,octotree,22.5k,https://github.com/ovity/octotree
gitpod-io,gitpod,11.6k,https://github.com/gitpod-io/gitpod
reviewdog,reviewdog,6.7k,https://github.com/reviewdog/reviewdog
danger,danger,5.2k,https://github.com/danger/danger
danger,danger-js,5k,https://github.com/danger/danger-js
joho,awesome-code-review,4k,https://github.com/joho/awesome-code-review
Codium-ai,pr-agent,2.3k,https://github.com/Codium-ai/pr-agent
ajinabraham,nodejsscan,2.2k,https://github.com/ajinabraham/nodejsscan
microsoft,vscode-pull-request-github,2.1k,https://github.com/microsoft/vscode-pull-request-github
houndci,hound,1.9k,https://github.com/houndci/hound
mbj,mutant,1.9k,https://github.com/mbj/mutant
crev-dev,cargo-crev,1.9k,https://github.com/crev-dev/cargo-crev
reviewboard,reviewboard,1.5k,https://github.com/reviewboard/reviewboard
Tencent,CodeAnalysis,1.5k,https://github.com/Tencent/CodeAnalysis
ryanmcdermott,code-review-tips,1.4k,https://github.com/ryanmcdermott/code-review-tips
bit4woo,python_sec,1.2k,https://github.com/bit4woo/python_sec
code-review-checklists,java-concurrency,1.2k,https://github.com/code-review-checklists/java-concurrency
coderabbitai,ai-pr-reviewer,941,https://github.com/coderabbitai/ai-pr-reviewer
TeamCodeStream,codestream,908,https://github.com/TeamCodeStream/codestream
jiangsir404,Audit-Learning,876,https://github.com/jiangsir404/Audit-Learning
mattzcarey,code-review-gpt,859,https://github.com/mattzcarey/code-review-gpt
enlightn,enlightn,825,https://github.com/enlightn/enlightn
palantir,policy-bot,661,https://github.com/palantir/policy-bot
Cyber-Buddy,APKHunt,611,https://github.com/Cyber-Buddy/APKHunt
mgreiler,code-review-checklist,608,https://github.com/mgreiler/code-review-checklist
bsamseth,cpp-project,569,https://github.com/bsamseth/cpp-project
kxxt,chatgpt-action,553,https://github.com/kxxt/chatgpt-action
mookid,diffr,497,https://github.com/mookid/diffr
uwolfer,gerrit-intellij-plugin,474,https://github.com/uwolfer/gerrit-intellij-plugin
wandersoncferreira,code-review,427,https://github.com/wandersoncferreira/code-review
InfuseAI,piperider,407,https://github.com/InfuseAI/piperider
watermelontools,watermelon-vscode,404,https://github.com/watermelontools/watermelon-vscode
erikthedeveloper,code-review-emoji-guide,394,https://github.com/erikthedeveloper/code-review-emoji-guide
JetBrains,Qodana,386,https://github.com/JetBrains/Qodana
dpnishant,raptor,339,https://github.com/dpnishant/raptor
sjparkinson,static-review,326,https://github.com/sjparkinson/static-review
charignon,github-review,301,https://github.com/charignon/github-review
burrito-brothers,shiba,293,https://github.com/burrito-brothers/shiba
sturdy-dev,codeball-action,275,https://github.com/sturdy-dev/codeball-action
Skydio,revup,257,https://github.com/Skydio/revup
JetBrains,qodana-action,221,https://github.com/JetBrains/qodana-action
reposense,RepoSense,203,https://github.com/reposense/RepoSense
oldratlee,software-practice-thoughts,200,https://github.com/oldratlee/software-practice-thoughts
domvwt,chatgpt-code-review,177,https://github.com/domvwt/chatgpt-code-review
mgreiler,all-about-code-review,176,https://github.com/mgreiler/all-about-code-review
apoclyps,reviews,163,https://github.com/apoclyps/reviews
uwolfer,gerrit-rest-java-client,159,https://github.com/uwolfer/gerrit-rest-java-client
linear-b,gitstream,157,https://github.com/linear-b/gitstream
src-d,lookout,148,https://github.com/src-d/lookout
JetBrains,qodana-cli,146,https://github.com/JetBrains/qodana-cli
timothyandrew,gh-stack,144,https://github.com/timothyandrew/gh-stack
torbiak,git-autofixup,143,https://github.com/torbiak/git-autofixup
thesp0nge,owasp-orizon,142,https://github.com/thesp0nge/owasp-orizon
code-review-checklists,go-concurrency,141,https://github.com/code-review-checklists/go-concurrency
kitabisa,sonarqube-action,129,https://github.com/kitabisa/sonarqube-action
feramhq,FastLint-Issues,127,https://github.com/feramhq/FastLint-Issues
reviewboard,ReviewBot,121,https://github.com/reviewboard/ReviewBot
freeedcom,ai-codereviewer,113,https://github.com/freeedcom/ai-codereviewer
robatwilliams,decent-code,102,https://github.com/robatwilliams/decent-code
necojackarc,auto-request-review,102,https://github.com/necojackarc/auto-request-review
fanquake,core-review,98,https://github.com/fanquake/core-review
packsaddle,ruby-saddler,95,https://github.com/packsaddle/ruby-saddler
andygrunwald,go-gerrit,94,https://github.com/andygrunwald/go-gerrit
zuramai,refactoring,93,https://github.com/zuramai/refactoring
google,code-review-bot,90,https://github.com/google/code-review-bot
training-center,code-review,85,https://github.com/training-center/code-review
aavshr,fixCache,82,https://github.com/aavshr/fixCache
gorgarp,ChatGPT-Code-Review,80,https://github.com/gorgarp/ChatGPT-Code-Review
DXHeroes,dx-scanner,80,https://github.com/DXHeroes/dx-scanner
kamranahmedse,code-reviews,77,https://github.com/kamranahmedse/code-reviews
AGhost-7,critiq.vim,73,https://github.com/AGhost-7/critiq.vim
mellowagain,gitarena,71,https://github.com/mellowagain/gitarena
ZedThree,clang-tidy-review,68,https://github.com/ZedThree/clang-tidy-review
tj-actions,eslint-changed-files,64,https://github.com/tj-actions/eslint-changed-files
adshao,chatgpt-code-review-action,63,https://github.com/adshao/chatgpt-code-review-action
jspahrsummers,effective-code-review,62,https://github.com/jspahrsummers/effective-code-review
platisd,bad-commit-message-blocker,61,https://github.com/platisd/bad-commit-message-blocker
pullreminders,backlog,59,https://github.com/pullreminders/backlog
codewing-dev,codewing,57,https://github.com/codewing-dev/codewing
ankitbko,vscode-pull-request-azdo,57,https://github.com/ankitbko/vscode-pull-request-azdo
vladholubiev,quickreview-for-github,56,https://github.com/vladholubiev/quickreview-for-github
moengage,alice,54,https://github.com/moengage/alice
mozilla,code-review,53,https://github.com/mozilla/code-review
pydantic,hooky,51,https://github.com/pydantic/hooky
TailorDev,assignees,51,https://github.com/TailorDev/assignees
feiskyer,ChatGPT-Reviewer,51,https://github.com/feiskyer/ChatGPT-Reviewer
akondas,code-review-estimator,51,https://github.com/akondas/code-review-estimator
tbroadley,narrated-diffs,49,https://github.com/tbroadley/narrated-diffs
mawrkus,pull-request-review-guide,47,https://github.com/mawrkus/pull-request-review-guide
ariary,TrojanSourceFinder,46,https://github.com/ariary/TrojanSourceFinder
QualInsight,qualinsight-plugins-sonarqube-smell,46,https://github.com/QualInsight/qualinsight-plugins-sonarqube-smell
DeepCodeAI,vscode-extension,43,https://github.com/DeepCodeAI/vscode-extension
redhat-cip,software-factory,42,https://github.com/redhat-cip/software-factory
zijinshi,google_eng_practice,42,https://github.com/zijinshi/google_eng_practice
emersion,python-emailthreads,42,https://github.com/emersion/python-emailthreads
shanesmith,gerrit-cli,42,https://github.com/shanesmith/gerrit-cli
alleyinteractive,hubot-code-review,41,https://github.com/alleyinteractive/hubot-code-review
pamepeixinho,awesome-list-dev-memes,40,https://github.com/pamepeixinho/awesome-list-dev-memes
volmer,policial,37,https://github.com/volmer/policial
axolo-co,developer-resources,37,https://github.com/axolo-co/developer-resources
