Username,Repository,Stars,Repo URL
microsoft,vscode,152k,https://github.com/microsoft/vscode
electron,electron,109k,https://github.com/electron/electron
Fndroid,clash_for_windows_pkg,62.4k,https://github.com/Fndroid/clash_for_windows_pkg
atom,atom,59.6k,https://github.com/atom/atom
microsoft,playwright,55.6k,https://github.com/microsoft/playwright
marktext,marktext,41.8k,https://github.com/marktext/marktext
agalwood,Motrix,40.6k,https://github.com/agalwood/Motrix
laurent22,joplin,39k,https://github.com/laurent22/joplin
GitSquared,edex-ui,38.6k,https://github.com/GitSquared/edex-ui
nativefier,nativefier,34.3k,https://github.com/nativefier/nativefier
typeorm,typeorm,32.3k,https://github.com/typeorm/typeorm
qier222,YesPlayMusic,25k,https://github.com/qier222/YesPlayMusic
nylas,nylas-mail,24.8k,https://github.com/nylas/nylas-mail
sindresorhus,awesome-electron,24.8k,https://github.com/sindresorhus/awesome-electron
quasarframework,quasar,24.4k,https://github.com/quasarframework/quasar
zadam,trilium,22.9k,https://github.com/zadam/trilium
toeverything,AFFiNE,22.7k,https://github.com/toeverything/AFFiNE
notable,notable,22k,https://github.com/notable/notable
electron-react-boilerplate,electron-react-boilerplate,22k,https://github.com/electron-react-boilerplate/electron-react-boilerplate
Molunerfinn,PicGo,21.6k,https://github.com/Molunerfinn/PicGo
oldj,SwitchHosts,21.3k,https://github.com/oldj/SwitchHosts
responsively-org,responsively-app,21k,https://github.com/responsively-org/responsively-app
typicode,lowdb,20.1k,https://github.com/typicode/lowdb
segment-boneyard,nightmare,19.5k,https://github.com/segment-boneyard/nightmare
railsware,upterm,19.3k,https://github.com/railsware/upterm
zulip,zulip,18.6k,https://github.com/zulip/zulip
upscayl,upscayl,18.6k,https://github.com/upscayl/upscayl
eclipse-theia,theia,18.5k,https://github.com/eclipse-theia/theia
desktop,desktop,18.3k,https://github.com/desktop/desktop
BoostIO,BoostNote-Legacy,17.1k,https://github.com/BoostIO/BoostNote-Legacy
wulkano,Kap,16.8k,https://github.com/wulkano/Kap
SimulatedGREG,electron-vue,15.4k,https://github.com/SimulatedGREG/electron-vue
pavlobu,deskreen,14.8k,https://github.com/pavlobu/deskreen
Foundry376,Mailspring,14.5k,https://github.com/Foundry376/Mailspring
geeeeeeeeek,electronic-wechat,13.9k,https://github.com/geeeeeeeeek/electronic-wechat
beekeeper-studio,beekeeper-studio,13.8k,https://github.com/beekeeper-studio/beekeeper-studio
Hunlongyu,ZY-Player,13.4k,https://github.com/Hunlongyu/ZY-Player
docmirror,dev-sidecar,13.2k,https://github.com/docmirror/dev-sidecar
electron-userland,electron-builder,13k,https://github.com/electron-userland/electron-builder
docker,kitematic,12.3k,https://github.com/docker/kitematic
nukeop,nuclear,10.7k,https://github.com/nukeop/nuclear
reactide,reactide,10.5k,https://github.com/reactide/reactide
sunner,ChatALL,10.3k,https://github.com/sunner/ChatALL
jhen0409,react-native-debugger,10.1k,https://github.com/jhen0409/react-native-debugger
connors,photon,10k,https://github.com/connors/photon
hackjutsu,Lepton,9.9k,https://github.com/hackjutsu/Lepton
getgridea,gridea,9.6k,https://github.com/getgridea/gridea
webtorrent,webtorrent-desktop,9.4k,https://github.com/webtorrent/webtorrent-desktop
electerm,electerm,9.4k,https://github.com/electerm/electerm
devhubapp,devhub,9.2k,https://github.com/devhubapp/devhub
dice2o,BingGPT,9.1k,https://github.com/dice2o/BingGPT
Zettlr,Zettlr,9k,https://github.com/Zettlr/Zettlr
GetStream,Winds,8.8k,https://github.com/GetStream/Winds
evolus,pencil,8.8k,https://github.com/evolus/pencil
trazyn,ieaseMusic,8.7k,https://github.com/trazyn/ieaseMusic
MarshallOfSound,Google-Play-Music-Desktop-Player-UNOFFICIAL-,8.3k,https://github.com/MarshallOfSound/Google-Play-Music-Desktop-Player-UNOFFICIAL-
electron,electron-packager,8.3k,https://github.com/electron/electron-packager
revery-ui,revery,8.1k,https://github.com/revery-ui/revery
cerebroapp,cerebro,8k,https://github.com/cerebroapp/cerebro
brave,browser-laptop,8k,https://github.com/brave/browser-laptop
felixrieseberg,macintosh.js,8.2k,https://github.com/felixrieseberg/macintosh.js
revery-ui,revery,8.1k,https://github.com/revery-ui/revery
cerebroapp,cerebro,8k,https://github.com/cerebroapp/cerebro
brave,browser-laptop,8k,https://github.com/brave/browser-laptop
Jigsaw-Code,outline-client,7.8k,https://github.com/Jigsaw-Code/outline-client
ethereum,mist,7.4k,https://github.com/ethereum/mist
bitwarden,clients,7.3k,https://github.com/bitwarden/clients
microsoft,azuredatastudio,7.3k,https://github.com/microsoft/azuredatastudio
streetwriters,notesnook,7.2k,https://github.com/streetwriters/notesnook
electron,fiddle,7.2k,https://github.com/electron/fiddle
ElectronNET,Electron.NET,6.9k,https://github.com/ElectronNET/Electron.NET
sindresorhus,caprine,6.7k,https://github.com/sindresorhus/caprine
beakerbrowser,beaker,6.7k,https://github.com/beakerbrowser/beaker
ciderapp,Cider,6.7k,https://github.com/ciderapp/Cider
weolar,miniblink49,6.6k,https://github.com/weolar/miniblink49
Heroic-Games-Launcher,HeroicGamesLauncher,6.2k,https://github.com/Heroic-Games-Launcher/HeroicGamesLauncher
FaisalUmair,udemy-downloader-gui,6k,https://github.com/FaisalUmair/udemy-downloader-gui
jely2002,youtube-dl-gui,6k,https://github.com/jely2002/youtube-dl-gui
electron,forge,5.8k,https://github.com/electron/forge
trazyn,weweChat,5.7k,https://github.com/trazyn/weweChat
GetPublii,Publii,5.6k,https://github.com/GetPublii/Publii
serialport,node-serialport,5.5k,https://github.com/serialport/node-serialport
nodegit,nodegit,5.5k,https://github.com/nodegit/nodegit
maximegris,angular-electron,5.5k,https://github.com/maximegris/angular-electron
yang991178,fluent-reader,5.5k,https://github.com/yang991178/fluent-reader
mockoon,mockoon,5.4k,https://github.com/mockoon/mockoon
Jigsaw-Code,outline-server,5.3k,https://github.com/Jigsaw-Code/outline-server
rubickCenter,rubick,5.3k,https://github.com/rubickCenter/rubick
hql287,Manta,5.2k,https://github.com/hql287/Manta
benoitvallon,react-native-nw-react-calculator,5.2k,https://github.com/benoitvallon/react-native-nw-react-calculator
cteamx,Thief,5.1k,https://github.com/cteamx/Thief
plotly,falcon,5.1k,https://github.com/plotly/falcon
Soundnode,soundnode-app,5.1k,https://github.com/Soundnode/soundnode-app
purocean,yn,5k,https://github.com/purocean/yn
massCodeIO,massCode,5k,https://github.com/massCodeIO/massCode
netless-io,flat,5k,https://github.com/netless-io/flat
nicholas-ochoa,OpenSC2K,4.9k,https://github.com/nicholas-ochoa/OpenSC2K
altair-graphql,altair,4.9k,https://github.com/altair-graphql/altair
asticode,go-astilectron,4.8k,https://github.com/asticode/go-astilectron
trufflesuite,ganache-ui,4.6k,https://github.com/trufflesuite/ganache-ui
