Username,Repository,Stars,Repo URL
fogleman,Craft,10k,https://github.com/fogleman/Craft
dnschneid,crouton,8.4k,https://github.com/dnschneid/crouton
PaperMC,Paper,8k,https://github.com/PaperMC/Paper
IdreesInc,Monocraft,7.1k,https://github.com/IdreesInc/Monocraft
MinecraftForge,MinecraftForge,6.4k,https://github.com/MinecraftForge/MinecraftForge
cabaletta,baritone,6.1k,https://github.com/cabaletta/baritone
nuno-faria,tiler,5.7k,https://github.com/nuno-faria/tiler
huanghongxun,HMCL,5.6k,https://github.com/huanghongxun/HMCL
PojavLauncherTeam,PojavLauncher,4.8k,https://github.com/PojavLauncherTeam/PojavLauncher
cuberite,cuberite,4.7k,https://github.com/cuberite/cuberite
CaffeineMC,sodium-fabric,4.2k,https://github.com/CaffeineMC/sodium-fabric
MineDojo,Voyager,4.2k,https://github.com/MineDojo/Voyager
GeyserMC,Geyser,4.2k,https://github.com/GeyserMC/Geyser
PrismarineJS,mineflayer,4.1k,https://github.com/PrismarineJS/mineflayer
PrismLauncher,PrismLauncher,4k,https://github.com/PrismLauncher/PrismLauncher
MultiMC,Launcher,4k,https://github.com/MultiMC/Launcher
pmmp,PocketMine-MP,3.1k,https://github.com/pmmp/PocketMine-MP
EngineHub,WorldEdit,2.9k,https://github.com/EngineHub/WorldEdit
IrisShaders,Iris,2.8k,https://github.com/IrisShaders/Iris
Lxtharia,minegrub-theme,2.8k,https://github.com/Lxtharia/minegrub-theme
PaperMC,Folia,2.7k,https://github.com/PaperMC/Folia
Querz,mcaselector,2.5k,https://github.com/Querz/mcaselector
feather-rs,feather,2.4k,https://github.com/feather-rs/feather
MCSManager,MCSManager,2.4k,https://github.com/MCSManager/MCSManager
JannisX11,blockbench,2.3k,https://github.com/JannisX11/blockbench
Creators-of-Create,Create,2.3k,https://github.com/Creators-of-Create/Create
toolbox4minecraft,amidst,2.1k,https://github.com/toolbox4minecraft/amidst
Minestom,Minestom,2k,https://github.com/Minestom/Minestom
microsoft,pxt,2k,https://github.com/microsoft/pxt
