Username,Repository,Stars,Repo URL
donnemartin,system-design-primer,232k,https://github.com/donnemartin/system-design-primer
vinta,awesome-python,184k,https://github.com/vinta/awesome-python
tensorflow,tensorflow,178k,https://github.com/tensorflow/tensorflow
TheAlgorithms,Python,171k,https://github.com/TheAlgorithms/Python
CyC2018,CS-Notes,168k,https://github.com/CyC2018/CS-Notes
Significant-Gravitas,AutoGPT,151k,https://github.com/Significant-Gravitas/AutoGPT
practical-tutorials,project-based-learning,118k,https://github.com/practical-tutorials/project-based-learning
30-seconds,30-seconds-of-code,116k,https://github.com/30-seconds/30-seconds-of-code
huggingface,transformers,113k,https://github.com/huggingface/transformers
justjavac,free-programming-books-zh_CN,105k,https://github.com/justjavac/free-programming-books-zh_CN
nvbn,thefuck,79.7k,https://github.com/nvbn/thefuck
521xueweihan,HelloGitHub,76.6k,https://github.com/521xueweihan/HelloGitHub
django,django,73.5k,https://github.com/django/django
pytorch,pytorch,71.7k,https://github.com/pytorch/pytorch
pallets,flask,64.6k,https://github.com/pallets/flask
tiangolo,fastapi,63.5k,https://github.com/tiangolo/fastapi
home-assistant,core,63.4k,https://github.com/home-assistant/core
keras-team,keras,59.5k,https://github.com/keras-team/keras
ansible,ansible,58.9k,https://github.com/ansible/ansible
bregman-arie,devops-exercises,58.6k,https://github.com/bregman-arie/devops-exercises
yt-dlp,yt-dlp,58k,https://github.com/yt-dlp/yt-dlp
scikit-learn,scikit-learn,56.2k,https://github.com/scikit-learn/scikit-learn
apache,superset,54.8k,https://github.com/apache/superset
3b1b,manim,54.2k,https://github.com/3b1b/manim
microsoft,ML-For-Beginners,53.9k,https://github.com/microsoft/ML-For-Beginners
azl397985856,leetcode,52.6k,https://github.com/azl397985856/leetcode
psf,requests,50.4k,https://github.com/psf/requests
d2l-ai,d2l-zh,49.8k,https://github.com/d2l-ai/d2l-zh
ageitgey,face_recognition,49.6k,https://github.com/ageitgey/face_recognition
localstack,localstack,49.5k,https://github.com/localstack/localstack
scrapy,scrapy,48.9k,https://github.com/scrapy/scrapy
CorentinJ,Real-Time-Voice-Cloning,48.1k,https://github.com/CorentinJ/Real-Time-Voice-Cloning
ryanoasis,nerd-fonts,47k,https://github.com/ryanoasis/nerd-fonts
xtekky,gpt4free,46.4k,https://github.com/xtekky/gpt4free
Textualize,rich,45.1k,https://github.com/Textualize/rich
AntonOsika,gpt-engineer,44.7k,https://github.com/AntonOsika/gpt-engineer
sherlock-project,sherlock,43.9k,https://github.com/sherlock-project/sherlock
aymericdamien,TensorFlow-Examples,43k,https://github.com/aymericdamien/TensorFlow-Examples
youngyangyang04,leetcode-master,42.7k,https://github.com/youngyangyang04/leetcode-master
Avik-Jain,100-Days-Of-ML-Code,42k,https://github.com/Avik-Jain/100-Days-Of-ML-Code
pandas-dev,pandas,40k,https://github.com/pandas-dev/pandas
jakevdp,PythonDataScienceHandbook,39.8k,https://github.com/jakevdp/PythonDataScienceHandbook
faif,python-patterns,38.3k,https://github.com/faif/python-patterns
serhii-londar,open-source-mac-os-apps,37.2k,https://github.com/serhii-londar/open-source-mac-os-apps
apache,spark,37k,https://github.com/apache/spark
apachecn,ailearning,36.6k,https://github.com/apachecn/ailearning
LAION-AI,Open-Assistant,35.4k,https://github.com/LAION-AI/Open-Assistant
getsentry,sentry,35.3k,https://github.com/getsentry/sentry
satwikkansal,wtfpython,34.4k,https://github.com/satwikkansal/wtfpython
GokuMohandas,Made-With-ML,34.3k,https://github.com/GokuMohandas/Made-With-ML
psf,black,34k,https://github.com/psf/black
pyenv,pyenv,33.7k,https://github.com/pyenv/pyenv
gto76,python-cheatsheet,33.5k,https://github.com/gto76/python-cheatsheet
mitmproxy,mitmproxy,32.5k,https://github.com/mitmproxy/mitmproxy
apache,airflow,32.1k,https://github.com/apache/airflow
odoo,odoo,31k,https://github.com/odoo/odoo
certbot,certbot,30.3k,https://github.com/certbot/certbot
httpie,cli,29.7k,https://github.com/httpie/cli
KillianLucas,open-interpreter,29.5k,https://github.com/KillianLucas/open-interpreter
sqlmapproject,sqlmap,28.4k,https://github.com/sqlmapproject/sqlmap
ray-project,ray,28.2k,https://github.com/ray-project/ray
SeleniumHQ,selenium,28k,https://github.com/SeleniumHQ/selenium
donnemartin,interactive-coding-challenges,27.9k,https://github.com/donnemartin/interactive-coding-challenges
streamlit,streamlit,27.9k,https://github.com/streamlit/streamlit
facebookresearch,fairseq,27.7k,https://github.com/facebookresearch/fairseq
explosion,spaCy,27.3k,https://github.com/explosion/spaCy
jobbole,awesome-python-cn,27.1k,https://github.com/jobbole/awesome-python-cn
python-poetry,poetry,27k,https://github.com/python-poetry/poetry
realpython,python-guide,26.8k,https://github.com/realpython/python-guide
Asabeneh,30-Days-Of-Python,26.6k,https://github.com/Asabeneh/30-Days-Of-Python
encode,django-rest-framework,26.5k,https://github.com/encode/django-rest-framework
tqdm,tqdm,26k,https://github.com/tqdm/tqdm
donnemartin,data-science-ipython-notebooks,25.7k,https://github.com/donnemartin/data-science-ipython-notebooks
google,python-fire,25.4k,https://github.com/google/python-fire
ageron,handson-ml,25k,https://github.com/ageron/handson-ml
Lightning-AI,lightning,24.9k,https://github.com/Lightning-AI/lightning
numpy,numpy,24.7k,https://github.com/numpy/numpy
GitHubDaily,GitHubDaily,24.7k,https://github.com/GitHubDaily/GitHubDaily
fastai,fastai,24.6k,https://github.com/fastai/fastai
OpenBB-finance,OpenBBTerminal,24.6k,https://github.com/OpenBB-finance/OpenBBTerminal
pypa,pipenv,24.2k,https://github.com/pypa/pipenv
StevenBlack,hosts,24k,https://github.com/StevenBlack/hosts
getredash,redash,24k,https://github.com/getredash/redash
deezer,spleeter,23.6k,https://github.com/deezer/spleeter
nicolargo,glances,23.6k,https://github.com/nicolargo/glances
python-telegram-bot,python-telegram-bot,23.3k,https://github.com/python-telegram-bot/python-telegram-bot
freqtrade,freqtrade,23.1k,https://github.com/freqtrade/freqtrade
keon,algorithms,23k,https://github.com/keon/algorithms
microsoft,Data-Science-For-Beginners,22.7k,https://github.com/microsoft/Data-Science-For-Beginners
gradio-app,gradio,22.7k,https://github.com/gradio-app/gradio
celery,celery,22.4k,https://github.com/celery/celery
locustio,locust,22.3k,https://github.com/locustio/locust
jumpserver,jumpserver,22.2k,https://github.com/jumpserver/jumpserver
apache,flink,22.1k,https://github.com/apache/flink
vnpy,vnpy,21.9k,https://github.com/vnpy/vnpy
norvig,pytudes,21.9k,https://github.com/norvig/pytudes
trekhleb,homemade-machine-learning,21.9k,https://github.com/trekhleb/homemade-machine-learning
Textualize,textual,21.7k,https://github.com/Textualize/textual
tornadoweb,tornado,21.3k,https://github.com/tornadoweb/tornado
google,flatbuffers,21.2k,https://github.com/google/flatbuffers
