Username,Repository,Stars,Repo URL
learnbyexample,Command-line-text-processing,10.1k,https://github.com/learnbyexample/Command-line-text-processing
theos,theos,4.1k,https://github.com/theos/theos
kaitai-io,kaitai_struct,3.6k,https://github.com/kaitai-io/kaitai_struct
imapsync,imapsync,2.9k,https://github.com/imapsync/imapsync
rsnapshot,rsnapshot,2.9k,https://github.com/rsnapshot/rsnapshot
weechat,weechat,2.7k,https://github.com/weechat/weechat
mojolicious,mojo,2.6k,https://github.com/mojolicious/mojo
apache,avro,2.6k,https://github.com/apache/avro
jfcoz,postgresqltuner,2.5k,https://github.com/jfcoz/postgresqltuner
exiftool,exiftool,2.4k,https://github.com/exiftool/exiftool
apache,activemq,2.2k,https://github.com/apache/activemq
Komodo,KomodoEdit,2.1k,https://github.com/Komodo/KomodoEdit
HariSekhon,DevOps-Bash-tools,1.9k,https://github.com/HariSekhon/DevOps-Bash-tools
munin-monitoring,munin,1.8k,https://github.com/munin-monitoring/munin
kaxap,arl,1.8k,https://github.com/kaxap/arl
neurobin,shc,1.8k,https://github.com/neurobin/shc
Perl,perl5,1.7k,https://github.com/Perl/perl5
hexsum,Mojo-Webqq,1.7k,https://github.com/hexsum/Mojo-Webqq
htrgouvea,nipe,1.7k,https://github.com/htrgouvea/nipe
Difegue,LANraragi,1.6k,https://github.com/Difegue/LANraragi
beyondgrep,ack2,1.5k,https://github.com/beyondgrep/ack2
learnbyexample,scripting_course,1.3k,https://github.com/learnbyexample/scripting_course
hexsum,Mojo-Weixin,1.2k,https://github.com/hexsum/Mojo-Weixin
OpenKore,openkore,1.2k,https://github.com/OpenKore/openkore
trizen,youtube-viewer,1.1k,https://github.com/trizen/youtube-viewer
smxi,inxi,1.1k,https://github.com/smxi/inxi
onelang,OneLang,1.1k,https://github.com/onelang/OneLang
mikaku,Monitorix,1k,https://github.com/mikaku/Monitorix
duckduckgo,zeroclickinfo-goodies,977,https://github.com/duckduckgo/zeroclickinfo-goodies
convos-chat,convos,965,https://github.com/convos-chat/convos
stark,Color-Scripts,945,https://github.com/stark/Color-Scripts
Logitech,slimserver,934,https://github.com/Logitech/slimserver
skx,sysadmin-util,931,https://github.com/skx/sysadmin-util
hacktoolspack,hack-tools,922,https://github.com/hacktoolspack/hack-tools
asbru-cm,asbru-cm,888,https://github.com/asbru-cm/asbru-cm
