Username,Repository,Stars,Repo URL
freeCodeCamp,freeCodeCamp,376k,https://github.com/freeCodeCamp/freeCodeCamp
facebook,react,214k,https://github.com/facebook/react
vercel,next.js,113k,https://github.com/vercel/next.js
facebook,react-native,112k,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,105k,https://github.com/justjavac/free-programming-books-zh_CN
facebook,create-react-app,101k,https://github.com/facebook/create-react-app
mui,material-ui,89.1k,https://github.com/mui/material-ui
ant-design,ant-design,87.8k,https://github.com/ant-design/ant-design
storybookjs,storybook,80.5k,https://github.com/storybookjs/storybook
oven-sh,bun,63.9k,https://github.com/oven-sh/bun
leonardomso,33-js-concepts,59k,https://github.com/leonardomso/33-js-concepts
enaqx,awesome-react,58.5k,https://github.com/enaqx/awesome-react
gatsbyjs,gatsby,54.8k,https://github.com/gatsbyjs/gatsby
apache,superset,54.7k,https://github.com/apache/superset
ionic-team,ionic-framework,49.5k,https://github.com/ionic-team/ionic-framework
facebook,docusaurus,48.4k,https://github.com/facebook/docusaurus
Yidadaa,ChatGPT-Next-Web,44.9k,https://github.com/Yidadaa/ChatGPT-Next-Web
meteor,meteor,43.8k,https://github.com/meteor/meteor
typescript-cheatsheets,react,42.5k,https://github.com/typescript-cheatsheets/react
vercel,hyper,41.6k,https://github.com/vercel/hyper
styled-components,styled-components,39.6k,https://github.com/styled-components/styled-components
Asabeneh,30-Days-Of-JavaScript,38.7k,https://github.com/Asabeneh/30-Days-Of-JavaScript
brillout,awesome-react-components,37.5k,https://github.com/brillout/awesome-react-components
FreeCodeCampChina,freecodecamp.cn,36.5k,https://github.com/FreeCodeCampChina/freecodecamp.cn
TanStack,query,36.5k,https://github.com/TanStack/query
evanw,esbuild,36.2k,https://github.com/evanw/esbuild
pmndrs,zustand,35.7k,https://github.com/pmndrs/zustand
preactjs,preact,35.1k,https://github.com/preactjs/preact
ant-design,ant-design-pro,34.9k,https://github.com/ant-design/ant-design-pro
chakra-ui,chakra-ui,34.6k,https://github.com/chakra-ui/chakra-ui
SheetJS,sheetjs,33.6k,https://github.com/SheetJS/sheetjs
NervJS,taro,33.6k,https://github.com/NervJS/taro
jondot,awesome-react-native,33.4k,https://github.com/jondot/awesome-react-native
jaredpalmer,formik,32.9k,https://github.com/jaredpalmer/formik
shadcn-ui,ui,32.8k,https://github.com/shadcn-ui/ui
xitu,gold-miner,32.8k,https://github.com/xitu/gold-miner
sudheerj,reactjs-interview-questions,32.2k,https://github.com/sudheerj/reactjs-interview-questions
atlassian,react-beautiful-dnd,31k,https://github.com/atlassian/react-beautiful-dnd
appsmithorg,appsmith,29.3k,https://github.com/appsmithorg/appsmith
react-boilerplate,react-boilerplate,29.3k,https://github.com/react-boilerplate/react-boilerplate
trpc,trpc,29k,https://github.com/trpc/trpc
novuhq,novu,29k,https://github.com/novuhq/novu
vercel,swr,28.1k,https://github.com/vercel/swr
ianstormtaylor,slate,28k,https://github.com/ianstormtaylor/slate
Advanced-Frontend,Daily-Interview-Question,27k,https://github.com/Advanced-Frontend/Daily-Interview-Question
mobxjs,mobx,26.8k,https://github.com/mobxjs/mobx
mattermost,mattermost,26.5k,https://github.com/mattermost/mattermost
pmndrs,react-spring,26.4k,https://github.com/pmndrs/react-spring
influxdata,influxdb,26.4k,https://github.com/influxdata/influxdb
AykutSarac,jsoncrack.com,25.7k,https://github.com/AykutSarac/jsoncrack.com
bvaughn,react-virtualized,25.4k,https://github.com/bvaughn/react-virtualized
nylas,nylas-mail,24.8k,https://github.com/nylas/nylas-mail
vadimdemedes,ink,24.7k,https://github.com/vadimdemedes/ink
react-native-elements,react-native-elements,24k,https://github.com/react-native-elements/react-native-elements
pmndrs,react-three-fiber,24k,https://github.com/pmndrs/react-three-fiber
haizlin,fe-interview,24k,https://github.com/haizlin/fe-interview
expo,expo,23.7k,https://github.com/expo/expo
doczjs,docz,23.4k,https://github.com/doczjs/docz
NativeScript,NativeScript,23k,https://github.com/NativeScript/NativeScript
reduxjs,react-redux,23k,https://github.com/reduxjs/react-redux
marmelab,react-admin,23k,https://github.com/marmelab/react-admin
Asabeneh,30-Days-Of-React,22.9k,https://github.com/Asabeneh/30-Days-Of-React
react-navigation,react-navigation,22.8k,https://github.com/react-navigation/react-navigation
TanStack,table,22.6k,https://github.com/TanStack/table
goldbergyoni,javascript-testing-best-practices,22.4k,https://github.com/goldbergyoni/javascript-testing-best-practices
tailwindlabs,headlessui,22.4k,https://github.com/tailwindlabs/headlessui
markerikson,react-redux-links,22.3k,https://github.com/markerikson/react-redux-links
kriasoft,react-starter-kit,22.2k,https://github.com/kriasoft/react-starter-kit
react-bootstrap,react-bootstrap,22k,https://github.com/react-bootstrap/react-bootstrap
notable,notable,22k,https://github.com/notable/notable
electron-react-boilerplate,electron-react-boilerplate,21.9k,https://github.com/electron-react-boilerplate/electron-react-boilerplate
mantinedev,mantine,21.6k,https://github.com/mantinedev/mantine
ueberdosis,tiptap,21.4k,https://github.com/ueberdosis/tiptap
heyxyz,hey,21.3k,https://github.com/heyxyz/hey
recharts,recharts,21.2k,https://github.com/recharts/recharts
necolas,react-native-web,21k,https://github.com/necolas/react-native-web
responsively-org,responsively-app,20.9k,https://github.com/responsively-org/responsively-app
jhipster,generator-jhipster,20.9k,https://github.com/jhipster/generator-jhipster
outline,outline,20.6k,https://github.com/outline/outline
alan2207,bulletproof-react,20.3k,https://github.com/alan2207/bulletproof-react
palantir,blueprint,20.1k,https://github.com/palantir/blueprint
medusajs,medusa,20.1k,https://github.com/medusajs/medusa
verekia,js-stack-from-scratch,20k,https://github.com/verekia/js-stack-from-scratch
enzymejs,enzyme,20k,https://github.com/enzymejs/enzyme
react-dnd,react-dnd,19.7k,https://github.com/react-dnd/react-dnd
GeekyAnts,NativeBase,19.7k,https://github.com/GeekyAnts/NativeBase
nrwl,nx,19.6k,https://github.com/nrwl/nx
usememos,memos,19.5k,https://github.com/usememos/memos
plotly,dash,19.4k,https://github.com/plotly/dash
railsware,upterm,19.3k,https://github.com/railsware/upterm
saleor,saleor,19.1k,https://github.com/saleor/saleor
nextauthjs,next-auth,19k,https://github.com/nextauthjs/next-auth
vueComponent,ant-design-vue,18.8k,https://github.com/vueComponent/ant-design-vue
react-grid-layout,react-grid-layout,18.4k,https://github.com/react-grid-layout/react-grid-layout
wailsapp,wails,18.2k,https://github.com/wailsapp/wails
InterviewMap,CS-Interview-Knowledge-Map,18.2k,https://github.com/InterviewMap/CS-Interview-Knowledge-Map
sudheerj,javascript-interview-questions,18.1k,https://github.com/sudheerj/javascript-interview-questions
airbnb,visx,17.8k,https://github.com/airbnb/visx
alibaba,ice,17.7k,https://github.com/alibaba/ice
wbkd,react-flow,17.6k,https://github.com/wbkd/react-flow
