Username,Repository,Stars,Repo URL
flutter,flutter,157k,https://github.com/flutter/flutter
jlevy,the-art-of-command-line,140k,https://github.com/jlevy/the-art-of-command-line
nodejs,node,98.5k,https://github.com/nodejs/node
jaywcjlove,awesome-mac,64k,https://github.com/jaywcjlove/awesome-mac
atom,atom,59.6k,https://github.com/atom/atom
alacritty,alacritty,48.8k,https://github.com/alacritty/alacritty
sherlock-project,sherlock,43.8k,https://github.com/sherlock-project/sherlock
FiloSottile,mkcert,42.9k,https://github.com/FiloSottile/mkcert
lencx,ChatGPT,41.6k,https://github.com/lencx/ChatGPT
marktext,marktext,41.6k,https://github.com/marktext/marktext
vercel,hyper,41.6k,https://github.com/vercel/hyper
PowerShell,PowerShell,41.1k,https://github.com/PowerShell/PowerShell
agalwood,Motrix,40.4k,https://github.com/agalwood/Motrix
GitSquared,edex-ui,38.4k,https://github.com/GitSquared/edex-ui
Homebrew,brew,37.3k,https://github.com/Homebrew/brew
serhii-londar,open-source-mac-os-apps,37.1k,https://github.com/serhii-londar/open-source-mac-os-apps
iina,iina,34.6k,https://github.com/iina/iina
nativefier,nativefier,34.3k,https://github.com/nativefier/nativefier
shadowsocks,ShadowsocksX-NG,31.8k,https://github.com/shadowsocks/ShadowsocksX-NG
sickcodes,Docker-OSX,31.8k,https://github.com/sickcodes/Docker-OSX
mathiasbynens,dotfiles,29.3k,https://github.com/mathiasbynens/dotfiles
herrbischoff,awesome-macos-command-line,27.9k,https://github.com/herrbischoff/awesome-macos-command-line
qier222,YesPlayMusic,24.9k,https://github.com/qier222/YesPlayMusic
nylas,nylas-mail,24.8k,https://github.com/nylas/nylas-mail
SDWebImage,SDWebImage,24.7k,https://github.com/SDWebImage/SDWebImage
MonitorControl,MonitorControl,23.7k,https://github.com/MonitorControl/MonitorControl
withfig,autocomplete,23.1k,https://github.com/withfig/autocomplete
onevcat,Kingfisher,21.7k,https://github.com/onevcat/Kingfisher
utmapp,UTM,21.6k,https://github.com/utmapp/UTM
MustangYM,WeChatExtension-ForMac,21.3k,https://github.com/MustangYM/WeChatExtension-ForMac
drduh,macOS-Security-and-Privacy-Guide,20.5k,https://github.com/drduh/macOS-Security-and-Privacy-Guide
Swordfish90,cool-retro-term,20.2k,https://github.com/Swordfish90/cool-retro-term
nikitavoloboev,my-mac,20k,https://github.com/nikitavoloboev/my-mac
AvaloniaUI,Avalonia,19.8k,https://github.com/AvaloniaUI/Avalonia
CodeEditApp,CodeEdit,19.1k,https://github.com/CodeEditApp/CodeEdit
invoke-ai,InvokeAI,19k,https://github.com/invoke-ai/InvokeAI
exelban,stats,18.2k,https://github.com/exelban/stats
wailsapp,wails,18.2k,https://github.com/wailsapp/wails
keepassxreboot,keepassxc,17.2k,https://github.com/keepassxreboot/keepassxc
BoostIO,BoostNote-Legacy,17.1k,https://github.com/BoostIO/BoostNote-Legacy
kholia,OSX-KVM,17.1k,https://github.com/kholia/OSX-KVM
pqrs-org,Karabiner-Elements,17k,https://github.com/pqrs-org/Karabiner-Elements
appium,appium,17k,https://github.com/appium/appium
wulkano,Kap,16.8k,https://github.com/wulkano/Kap
hzlzh,Best-App,16.8k,https://github.com/hzlzh/Best-App
wasmerio,wasmer,16.4k,https://github.com/wasmerio/wasmer
xbmc,xbmc,16.4k,https://github.com/xbmc/xbmc
kivy,kivy,16.3k,https://github.com/kivy/kivy
