Username,Repository,Stars,Repo URL
netdata,netdata,65.5k,https://github.com/netdata/netdata
redis,redis,61.8k,https://github.com/redis/redis
etcd-io,etcd,44.7k,https://github.com/etcd-io/etcd
meilisearch,meilisearch,39.3k,https://github.com/meilisearch/meilisearch
pingcap,tidb,35k,https://github.com/pingcap/tidb
LeCoupa,awesome-cheatsheets,34.8k,https://github.com/LeCoupa/awesome-cheatsheets
metabase,metabase,34.6k,https://github.com/metabase/metabase
prisma,prisma,34.3k,https://github.com/prisma/prisma
dbeaver,dbeaver,34.1k,https://github.com/dbeaver/dbeaver
SheetJS,sheetjs,33.7k,https://github.com/SheetJS/sheetjs
typeorm,typeorm,32.3k,https://github.com/typeorm/typeorm
huihut,interview,30.7k,https://github.com/huihut/interview
sqlmapproject,sqlmap,28.4k,https://github.com/sqlmapproject/sqlmap
cockroachdb,cockroach,28k,https://github.com/cockroachdb/cockroach
influxdata,influxdb,26.5k,https://github.com/influxdata/influxdb
facebook,rocksdb,26.2k,https://github.com/facebook/rocksdb
mongodb,mongo,24.5k,https://github.com/mongodb/mongo
directus,directus,23.4k,https://github.com/directus/directus
surrealdb,surrealdb,22.9k,https://github.com/surrealdb/surrealdb
taosdata,TDengine,21.8k,https://github.com/taosdata/TDengine
PostgREST,postgrest,21.2k,https://github.com/PostgREST/postgrest
typicode,lowdb,20.1k,https://github.com/typicode/lowdb
pubkey,rxdb,19.7k,https://github.com/pubkey/rxdb
dgraph-io,dgraph,19.7k,https://github.com/dgraph-io/dgraph
sqlitebrowser,sqlitebrowser,19.1k,https://github.com/sqlitebrowser/sqlitebrowser
apache,shardingsphere,18.9k,https://github.com/apache/shardingsphere
valeriansaliou,sonic,18.7k,https://github.com/valeriansaliou/sonic
mindsdb,mindsdb,18.4k,https://github.com/mindsdb/mindsdb
Vonng,ddia,18.3k,https://github.com/Vonng/ddia
amark,gun,17.5k,https://github.com/amark/gun
prisma,prisma1,16.6k,https://github.com/prisma/prisma1
forthespada,CS-Books,16.3k,https://github.com/forthespada/CS-Books
pouchdb,pouchdb,16k,https://github.com/pouchdb/pouchdb
realm,realm-swift,16k,https://github.com/realm/realm-swift
dolthub,dolt,15.6k,https://github.com/dolthub/dolt
timescale,timescaledb,15.6k,https://github.com/timescale/timescaledb
rqlite,rqlite,14.1k,https://github.com/rqlite/rqlite
beekeeper-studio,beekeeper-studio,13.8k,https://github.com/beekeeper-studio/beekeeper-studio
boltdb,bolt,13.7k,https://github.com/boltdb/bolt
go-sql-driver,mysql,13.7k,https://github.com/go-sql-driver/mysql
arangodb,arangodb,13.1k,https://github.com/arangodb/arangodb
questdb,questdb,12.9k,https://github.com/questdb/questdb
dotnet,efcore,12.9k,https://github.com/dotnet/efcore
dgraph-io,badger,12.8k,https://github.com/dgraph-io/badger
golang-migrate,migrate,12.4k,https://github.com/golang-migrate/migrate
duckdb,duckdb,12.4k,https://github.com/duckdb/duckdb
newTendermint,awesome-bigdata,12.4k,https://github.com/newTendermint/awesome-bigdata
gyoogle,tech-interview-for-developer,11.9k,https://github.com/gyoogle/tech-interview-for-developer
neo4j,neo4j,11.9k,https://github.com/neo4j/neo4j
sql-js,sql.js,11.7k,https://github.com/sql-js/sql.js
edgedb,edgedb,11.7k,https://github.com/edgedb/edgedb
1Panel-dev,1Panel,11.7k,https://github.com/1Panel-dev/1Panel
apache,zookeeper,11.6k,https://github.com/apache/zookeeper
realm,realm-java,11.4k,https://github.com/realm/realm-java
dbcli,pgcli,11.3k,https://github.com/dbcli/pgcli
scylladb,scylladb,11.2k,https://github.com/scylladb/scylladb
invertase,react-native-firebase,11.1k,https://github.com/invertase/react-native-firebase
dbcli,mycli,11.1k,https://github.com/dbcli/mycli
neondatabase,neon,10k,https://github.com/neondatabase/neon
harelba,q,10k,https://github.com/harelba/q
dexie,Dexie.js,9.9k,https://github.com/dexie/Dexie.js
mongodb,node-mongodb-native,9.9k,https://github.com/mongodb/node-mongodb-native
Tencent,wcdb,9.8k,https://github.com/Tencent/wcdb
apache,doris,9.7k,https://github.com/apache/doris
vesoft-inc,nebula,9.6k,https://github.com/vesoft-inc/nebula
VictoriaMetrics,VictoriaMetrics,9.5k,https://github.com/VictoriaMetrics/VictoriaMetrics
Nozbe,WatermelonDB,9.5k,https://github.com/Nozbe/WatermelonDB
dtm-labs,dtm,9.2k,https://github.com/dtm-labs/dtm
doctrine,dbal,9.2k,https://github.com/doctrine/dbal
debezium,debezium,9.2k,https://github.com/debezium/debezium
wolverinn,Waking-Up,9.1k,https://github.com/wolverinn/Waking-Up
guyueyingmu,avbook,9.1k,https://github.com/guyueyingmu/avbook
dhamaniasad,awesome-postgres,9.1k,https://github.com/dhamaniasad/awesome-postgres
citusdata,citus,9k,https://github.com/citusdata/citus
cstack,db_tutorial,8.8k,https://github.com/cstack/db_tutorial
tidwall,tile38,8.7k,https://github.com/tidwall/tile38
trinodb,trino,8.7k,https://github.com/trinodb/trino
XiaoMi,soar,8.5k,https://github.com/XiaoMi/soar
codenotary,immudb,8.4k,https://github.com/codenotary/immudb
amitshekhariitbhu,Android-Debug-Database,8.3k,https://github.com/amitshekhariitbhu/Android-Debug-Database
xo,usql,8.3k,https://github.com/xo/usql
apache,cassandra,8.2k,https://github.com/apache/cassandra
appbaseio,dejavu,8.2k,https://github.com/appbaseio/dejavu
bxcodec,go-clean-arch,8.2k,https://github.com/bxcodec/go-clean-arch
yugabyte,yugabyte-db,8.1k,https://github.com/yugabyte/yugabyte-db
