Username,Repository,Stars,Repo URL
flutter,flutter,157k,https://github.com/flutter/flutter
mui,material-ui,89.3k,https://github.com/mui/material-ui
ionic-team,ionic-framework,49.5k,https://github.com/ionic-team/ionic-framework
Solido,awesome-flutter,48.8k,https://github.com/Solido/awesome-flutter
google,material-design-icons,48.8k,https://github.com/google/material-design-icons
Dogfalo,materialize,38.8k,https://github.com/Dogfalo/materialize
vuetifyjs,vuetify,38.1k,https://github.com/vuetifyjs/vuetify
google,material-design-lite,32.2k,https://github.com/google/material-design-lite
quasarframework,quasar,24.4k,https://github.com/quasarframework/quasar
mdbootstrap,mdb-ui-kit,23.7k,https://github.com/mdbootstrap/mdb-ui-kit
angular,components,23.7k,https://github.com/angular/components
HeroTransitions,Hero,21.6k,https://github.com/HeroTransitions/Hero
afollestad,material-dialogs,19.6k,https://github.com/afollestad/material-dialogs
iampawan,FlutterExampleApps,19.2k,https://github.com/iampawan/FlutterExampleApps
framework7io,framework7,17.6k,https://github.com/framework7io/framework7
material-components,material-components-web,17k,https://github.com/material-components/material-components-web
angular,material,16.6k,https://github.com/angular/material
squidfunk,mkdocs-material,15.8k,https://github.com/squidfunk/mkdocs-material
material-components,material-components-android,15.5k,https://github.com/material-components/material-components-android
MaterialDesignInXAML,MaterialDesignInXamlToolkit,14k,https://github.com/MaterialDesignInXAML/MaterialDesignInXamlToolkit
froala,design-blocks,13.5k,https://github.com/froala/design-blocks
mdbootstrap,TW-Elements,12.1k,https://github.com/mdbootstrap/TW-Elements
CosmicMind,Material,12k,https://github.com/CosmicMind/Material
mikepenz,MaterialDrawer,11.6k,https://github.com/mikepenz/MaterialDrawer
wenzhixin,bootstrap-table,11.6k,https://github.com/wenzhixin/bootstrap-table
callstack,react-native-paper,11.4k,https://github.com/callstack/react-native-paper
Ramotion,animated-tab-bar,11.1k,https://github.com/Ramotion/animated-tab-bar
material-theme,vsc-material-theme,11.1k,https://github.com/material-theme/vsc-material-theme
creativetimofficial,material-dashboard,10.8k,https://github.com/creativetimofficial/material-dashboard
Templarian,MaterialDesign,10.7k,https://github.com/Templarian/MaterialDesign
AppIntro,AppIntro,10.4k,https://github.com/AppIntro/AppIntro
Ramotion,folding-cell,10.2k,https://github.com/Ramotion/folding-cell
vuematerial,vue-material,9.8k,https://github.com/vuematerial/vue-material
ksoichiro,Android-ObservableScrollView,9.6k,https://github.com/ksoichiro/Android-ObservableScrollView
mdbootstrap,material-design-for-bootstrap,9.4k,https://github.com/mdbootstrap/material-design-for-bootstrap
navasmdc,MaterialDesignLibrary,9k,https://github.com/navasmdc/MaterialDesignLibrary
react-toolbox,react-toolbox,8.7k,https://github.com/react-toolbox/react-toolbox
Freelander,Android_Data,8.7k,https://github.com/Freelander/Android_Data
roughike,BottomBar,8.4k,https://github.com/roughike/BottomBar
material-components,material-web,7.3k,https://github.com/material-components/material-web
material-shell,material-shell,7.2k,https://github.com/material-shell/material-shell
naman14,Timber,6.9k,https://github.com/naman14/Timber
