Username,Repository,Stars,Repo URL
JuliaLang,julia,43.3k,https://github.com/JuliaLang/julia
plotly,dash,19.4k,https://github.com/plotly/dash
nteract,papermill,5.4k,https://github.com/nteract/papermill
fonsp,Pluto.jl,4.7k,https://github.com/fonsp/Pluto.jl
multiprocessio,datastation,2.8k,https://github.com/multiprocessio/datastation
SciML,DifferentialEquations.jl,2.6k,https://github.com/SciML/DifferentialEquations.jl
grame-cncm,faust,2.3k,https://github.com/grame-cncm/faust
szcf-weiya,ESL-CN,2.3k,https://github.com/szcf-weiya/ESL-CN
MakieOrg,Makie.jl,2.1k,https://github.com/MakieOrg/Makie.jl
GenieFramework,Genie.jl,2.1k,https://github.com/GenieFramework/Genie.jl
jump-dev,JuMP.jl,2k,https://github.com/jump-dev/JuMP.jl
GiovineItalia,Gadfly.jl,1.9k,https://github.com/GiovineItalia/Gadfly.jl
JuliaPlots,Plots.jl,1.8k,https://github.com/JuliaPlots/Plots.jl
alan-turing-institute,MLJ.jl,1.7k,https://github.com/alan-turing-institute/MLJ.jl
JuliaData,DataFrames.jl,1.6k,https://github.com/JuliaData/DataFrames.jl
MilesCranmer,PySR,1.4k,https://github.com/MilesCranmer/PySR
denizyuret,Knet.jl,1.4k,https://github.com/denizyuret/Knet.jl
FluxML,Zygote.jl,1.4k,https://github.com/FluxML/Zygote.jl
JuliaPy,PyCall.jl,1.4k,https://github.com/JuliaPy/PyCall.jl
svaksha,Julia.jl,1.4k,https://github.com/svaksha/Julia.jl
JuliaPlots,UnicodePlots.jl,1.3k,https://github.com/JuliaPlots/UnicodePlots.jl
JuliaLang,PackageCompiler.jl,1.3k,https://github.com/JuliaLang/PackageCompiler.jl
mossr,BeautifulAlgorithms.jl,1.3k,https://github.com/mossr/BeautifulAlgorithms.jl
SciML,ModelingToolkit.jl,1.3k,https://github.com/SciML/ModelingToolkit.jl
cormullion,juliamono,1.2k,https://github.com/cormullion/juliamono
julia-vscode,julia-vscode,1.2k,https://github.com/julia-vscode/julia-vscode
jonathan-laurent,AlphaZero.jl,1.2k,https://github.com/jonathan-laurent/AlphaZero.jl
JuliaAcademy,JuliaTutorials,1.2k,https://github.com/JuliaAcademy/JuliaTutorials
pptacher,probabilistic_robotics,1.1k,https://github.com/pptacher/probabilistic_robotics
sagemathinc,cocalc,1.1k,https://github.com/sagemathinc/cocalc
JuliaGPU,CUDA.jl,1.1k,https://github.com/JuliaGPU/CUDA.jl
h-Klok,StatsWithJuliaBook,1k,https://github.com/h-Klok/StatsWithJuliaBook
JuliaStats,Distributions.jl,1k,https://github.com/JuliaStats/Distributions.jl
JuliaNLSolvers,Optim.jl,1k,https://github.com/JuliaNLSolvers/Optim.jl
facultyai,dash-bootstrap-components,1k,https://github.com/facultyai/dash-bootstrap-components
malmaud,TensorFlow.jl,876,https://github.com/malmaud/TensorFlow.jl
FluxML,model-zoo,848,https://github.com/FluxML/model-zoo
drujensen,fib,835,https://github.com/drujensen/fib
CliMA,Oceananigans.jl,822,https://github.com/CliMA/Oceananigans.jl
JuliaDiff,ForwardDiff.jl,821,https://github.com/JuliaDiff/ForwardDiff.jl
vladimirvivien,go-cshared-examples,794,https://github.com/vladimirvivien/go-cshared-examples
JuliaAnimators,Javis.jl,790,https://github.com/JuliaAnimators/Javis.jl
joshday,OnlineStats.jl,782,https://github.com/joshday/OnlineStats.jl
JunoLab,Weave.jl,779,https://github.com/JunoLab/Weave.jl
JuliaData,JuliaDB.jl,763,https://github.com/JuliaData/JuliaDB.jl
JuliaDynamics,DynamicalSystems.jl,759,https://github.com/JuliaDynamics/DynamicalSystems.jl
chrisvoncsefalvay,learn-julia-the-hard-way,756,https://github.com/chrisvoncsefalvay/learn-julia-the-hard-way
JuliaDocs,Documenter.jl,746,https://github.com/JuliaDocs/Documenter.jl
JuliaInterop,Cxx.jl,739,https://github.com/JuliaInterop/Cxx.jl
JuliaEditorSupport,julia-vim,726,https://github.com/JuliaEditorSupport/julia-vim
SciML,SciMLTutorials.jl,700,https://github.com/SciML/SciMLTutorials.jl
sbromberger,LightGraphs.jl,672,https://github.com/sbromberger/LightGraphs.jl
JuliaCollections,DataStructures.jl,647,https://github.com/JuliaCollections/DataStructures.jl
aviatesk,JET.jl,630,https://github.com/aviatesk/JET.jl
JuliaDynamics,Agents.jl,615,https://github.com/JuliaDynamics/Agents.jl
JuliaPOMDP,POMDPs.jl,609,https://github.com/JuliaPOMDP/POMDPs.jl
gridap,Gridap.jl,598,https://github.com/gridap/Gridap.jl
JuliaLang,Pkg.jl,575,https://github.com/JuliaLang/Pkg.jl
FluxML,FastAI.jl,573,https://github.com/FluxML/FastAI.jl
SciML,Optimization.jl,570,https://github.com/SciML/Optimization.jl
JuliaPy,PythonCall.jl,559,https://github.com/JuliaPy/PythonCall.jl
PainterQubits,Unitful.jl,553,https://github.com/PainterQubits/Unitful.jl
JuliaStats,GLM.jl,553,https://github.com/JuliaStats/GLM.jl
AlgebraicJulia,Catlab.jl,552,https://github.com/AlgebraicJulia/Catlab.jl
mcabbott,Tullio.jl,552,https://github.com/mcabbott/Tullio.jl
py2many,py2many,551,https://github.com/py2many/py2many
JuliaStats,StatsBase.jl,551,https://github.com/JuliaStats/StatsBase.jl
JuliaCI,BenchmarkTools.jl,546,https://github.com/JuliaCI/BenchmarkTools.jl
JuliaGraphics,Luxor.jl,538,https://github.com/JuliaGraphics/Luxor.jl
vikjam,mostly-harmless-replication,533,https://github.com/vikjam/mostly-harmless-replication
cstjean,ScikitLearn.jl,528,https://github.com/cstjean/ScikitLearn.jl
JuliaReinforcementLearning,ReinforcementLearning.jl,525,https://github.com/JuliaReinforcementLearning/ReinforcementLearning.jl
jump-dev,Convex.jl,523,https://github.com/jump-dev/Convex.jl
JuliaImages,Images.jl,509,https://github.com/JuliaImages/Images.jl
