Username,Repository,Stars,Repo URL
arendst,Tasmota,20.3k,https://github.com/arendst/Tasmota
MarlinFirmware,Marlin,15.3k,https://github.com/MarlinFirmware/Marlin
arduino,Arduino,13.8k,https://github.com/arduino/Arduino
tinygo-org,tinygo,13.5k,https://github.com/tinygo-org/tinygo
rwaldron,johnny-five,13.1k,https://github.com/rwaldron/johnny-five
SpacehuhnTech,esp8266_deauther,12.2k,https://github.com/SpacehuhnTech/esp8266_deauther
espressif,arduino-esp32,11.4k,https://github.com/espressif/arduino-esp32
gurugio,lowlevelprogramming-university,8.8k,https://github.com/gurugio/lowlevelprogramming-university
hybridgroup,gobot,8.5k,https://github.com/hybridgroup/gobot
platformio,platformio-core,7.1k,https://github.com/platformio/platformio-core
bblanchon,ArduinoJson,6.3k,https://github.com/bblanchon/ArduinoJson
tzapu,WiFiManager,6k,https://github.com/tzapu/WiFiManager
olikraus,u8g2,4.3k,https://github.com/olikraus/u8g2
ClemensElflein,OpenMower,4.1k,https://github.com/ClemensElflein/OpenMower
Arduino-IRremote,Arduino-IRremote,4.1k,https://github.com/Arduino-IRremote/Arduino-IRremote
arduino,arduino-cli,4k,https://github.com/arduino/arduino-cli
hybridgroup,cylon,4k,https://github.com/hybridgroup/cylon
blynkkk,blynk-library,3.7k,https://github.com/blynkkk/blynk-library
Serial-Studio,Serial-Studio,3.7k,https://github.com/Serial-Studio/Serial-Studio
NerdLang,nerd,3.5k,https://github.com/NerdLang/nerd
1technophile,OpenMQTTGateway,3.2k,https://github.com/1technophile/OpenMQTTGateway
justcallmekoko,ESP32Marauder,3.1k,https://github.com/justcallmekoko/ESP32Marauder
Bodmer,TFT_eSPI,2.9k,https://github.com/Bodmer/TFT_eSPI
scottbez1,splitflap,2.8k,https://github.com/scottbez1/splitflap
crankyoldgit,IRremoteESP8266,2.6k,https://github.com/crankyoldgit/IRremoteESP8266
blinker-iot,blinker-library,2.6k,https://github.com/blinker-iot/blinker-library
scottlawsonbc,audio-reactive-led-strip,2.6k,https://github.com/scottlawsonbc/audio-reactive-led-strip
isl-org,OpenBot,2.5k,https://github.com/isl-org/OpenBot
PetoiCamp,OpenCat,2.4k,https://github.com/PetoiCamp/OpenCat
stm32duino,Arduino_Core_STM32,2.4k,https://github.com/stm32duino/Arduino_Core_STM32
nRF24,RF24,2.1k,https://github.com/nRF24/RF24
T-vK,ESP32-BLE-Keyboard,1.9k,https://github.com/T-vK/ESP32-BLE-Keyboard
ThingPulse,esp8266-oled-ssd1306,1.9k,https://github.com/ThingPulse/esp8266-oled-ssd1306
omriharel,deej,1.9k,https://github.com/omriharel/deej
LucidVR,lucidgloves,1.8k,https://github.com/LucidVR/lucidgloves
sanni,cartreader,1.8k,https://github.com/sanni/cartreader
SpacehuhnTech,WiFiDuck,1.8k,https://github.com/SpacehuhnTech/WiFiDuck
earlephilhower,ESP8266Audio,1.8k,https://github.com/earlephilhower/ESP8266Audio
vshymanskyy,TinyGSM,1.7k,https://github.com/vshymanskyy/TinyGSM
arduino,arduino-ide,1.7k,https://github.com/arduino/arduino-ide
ggerganov,ggwave,1.7k,https://github.com/ggerganov/ggwave
sqfmi,Watchy,1.6k,https://github.com/sqfmi/Watchy
simplefoc,Arduino-FOC,1.6k,https://github.com/simplefoc/Arduino-FOC
luc-github,ESP3D,1.6k,https://github.com/luc-github/ESP3D
cyberman54,ESP32-Paxcounter,1.5k,https://github.com/cyberman54/ESP32-Paxcounter
kitesurfer1404,WS2812FX,1.5k,https://github.com/kitesurfer1404/WS2812FX
FortySevenEffects,arduino_midi_library,1.5k,https://github.com/FortySevenEffects/arduino_midi_library
earlephilhower,arduino-pico,1.4k,https://github.com/earlephilhower/arduino-pico
SpenceKonde,ATTinyCore,1.4k,https://github.com/SpenceKonde/ATTinyCore
SmingHub,Sming,1.4k,https://github.com/SmingHub/Sming
Mixiaoxiao,Arduino-HomeKit-ESP8266,1.4k,https://github.com/Mixiaoxiao/Arduino-HomeKit-ESP8266
RobTillaart,Arduino,1.4k,https://github.com/RobTillaart/Arduino
homieiot,homie-esp8266,1.3k,https://github.com/homieiot/homie-esp8266
samdenty,Wi-PWN,1.3k,https://github.com/samdenty/Wi-PWN
Zer0-bit,gaggiuino,1.3k,https://github.com/Zer0-bit/gaggiuino
mysensors,MySensors,1.3k,https://github.com/mysensors/MySensors
sbstjn,noduino,1.2k,https://github.com/sbstjn/noduino
spacehuhn,wifi_ducky,1.2k,https://github.com/spacehuhn/wifi_ducky
Makuna,NeoPixelBus,1.1k,https://github.com/Makuna/NeoPixelBus
MTK911,Attiny85,1.1k,https://github.com/MTK911/Attiny85
waveshareteam,e-Paper,1.1k,https://github.com/waveshareteam/e-Paper
jgromes,RadioLib,1.1k,https://github.com/jgromes/RadioLib
arkhipenko,TaskScheduler,1.1k,https://github.com/arkhipenko/TaskScheduler
maxritter,diy-thermocam,1.1k,https://github.com/maxritter/diy-thermocam
nakkaya,ferret,1.1k,https://github.com/nakkaya/ferret
particle-iot,device-os,1k,https://github.com/particle-iot/device-os
Rahix,avr-hal,1k,https://github.com/Rahix/avr-hal
ThingPulse,esp8266-weather-station,1k,https://github.com/ThingPulse/esp8266-weather-station
tttapa,Control-Surface,1k,https://github.com/tttapa/Control-Surface
PlummersSoftwareLLC,NightDriverStrip,1k,https://github.com/PlummersSoftwareLLC/NightDriverStrip
witnessmenow,Universal-Arduino-Telegram-Bot,995,https://github.com/witnessmenow/Universal-Arduino-Telegram-Bot
njh,EtherCard,994,https://github.com/njh/EtherCard
ImpulseAdventure,GUIslice,980,https://github.com/ImpulseAdventure/GUIslice
revoxhere,duino-coin,969,https://github.com/revoxhere/duino-coin
screetsec,Brutal,968,https://github.com/screetsec/Brutal
sitewhere,sitewhere,962,https://github.com/sitewhere/sitewhere
Gruppio,Sonoff-Homekit,959,https://github.com/Gruppio/Sonoff-Homekit
smrtnt,Open-Home-Automation,932,https://github.com/smrtnt/Open-Home-Automation
256dpi,arduino-mqtt,922,https://github.com/256dpi/arduino-mqtt
ivanseidel,ArduinoThread,909,https://github.com/ivanseidel/ArduinoThread
arduino,arduino-pro-ide,891,https://github.com/arduino/arduino-pro-ide
adafruit,Adafruit_Sensor,890,https://github.com/adafruit/Adafruit_Sensor
neu-rah,ArduinoMenu,873,https://github.com/neu-rah/ArduinoMenu
MCUdude,MiniCore,864,https://github.com/MCUdude/MiniCore
xodio,xod,857,https://github.com/xodio/xod
ayushsharma82,ESP-DASH,832,https://github.com/ayushsharma82/ESP-DASH
wagiminator,ATmega-Soldering-Station,824,https://github.com/wagiminator/ATmega-Soldering-Station
lumapu,ahoy,811,https://github.com/lumapu/ahoy
nkolban,ESP32_BLE_Arduino,808,https://github.com/nkolban/ESP32_BLE_Arduino
mathertel,OneButton,806,https://github.com/mathertel/OneButton
ZinggJM,GxEPD,795,https://github.com/ZinggJM/GxEPD
marvinroger,async-mqtt-client,789,https://github.com/marvinroger/async-mqtt-client
Xinyuan-LilyGO,TTGO_TWatch_Library,769,https://github.com/Xinyuan-LilyGO/TTGO_TWatch_Library
ZinggJM,GxEPD2,763,https://github.com/ZinggJM/GxEPD2
feilipu,Arduino_FreeRTOS_Library,755,https://github.com/feilipu/Arduino_FreeRTOS_Library
platformio,platform-espressif32,742,https://github.com/platformio/platform-espressif32
googlecreativelab,paper-signals,737,https://github.com/googlecreativelab/paper-signals
armadsen,ORSSerialPort,714,https://github.com/armadsen/ORSSerialPort
aderusha,HASwitchPlate,713,https://github.com/aderusha/HASwitchPlate
nickrehm,dRehmFlight,705,https://github.com/nickrehm/dRehmFlight
